Deutschland ;;;;;;;;;;;;;;
3 Beteiligte an Straßenverkehrsunfällen 2020;;;;;;;;;;;;;;
3.1 Alleinunfälle und Unfälle mit zwei Beteiligten nach Ortslage;;;;;;;;;;;;;;
3.1.1 Nach Unfallverursacher und Unfallgegner ;;;;;;;;;;;;;;
"Spalten: Der erste Beteiligte (Hauptverursacher) war ein(e) ...
Zeilen: Der zweite Beteiligte (Nebenverursacher) war ein(e) ...";;;;;;;;;;;;;;
Kraftrad mit Versicherungskennzeichen 1; 0; 2; 5; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 8
Kraftrad mit amtlichem Kennzeichen 2; 0; 17; 79; 0; 5; 4; 2; 2; 4; 3; 0; 0; 2; 118
Personenkraftwagen; 6; 64; 206; 1; 11; 6; 4; 0; 3; 47; 0; 25; 5; 378
Bus; 0; 4; 10; 0; 2; 0; 0; 0; 0; 2; 0; 0; 0; 18
Lastkraftwagen 3 bis einschließlich 3,5t; 2; 3; 24; 1; 2; 0; 0; 0; 0; 3; 0; 1; 0; 36
Lastkraftwagen 3 über 3,5t; 0; 4; 41; 0; 4; 7; 4; 1; 0; 2; 0; 0; 1; 64
Sattelzugmaschine; 0; 1; 63; 0; 17; 6; 7; 0; 0; 3; 0; 2; 1; 100
übriges Güterkraftfahrzeug; 0; 3; 3; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 7
Landwirt. Zugmaschine; 1; 8; 8; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 18
Fahrrad 4; 0; 5; 24; 1; 2; 2; 3; 1; 2; 2; 0; 0; 1; 43
Straßenbahn; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 2
Fußgänger 5; 0; 2; 40; 1; 4; 3; 4; 0; 1; 1; 0; 0; 1; 57
anderer Verkehrsteilnehmer; 0; 3; 9; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 18
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 17; 183; 453; 4; 17; 5; 8; 2; 16; 118; 1; 0; 18; 842
Unfälle zwischen zwei Beteiligten insg.; 18; 130; 737; 13; 69; 66; 54; 18; 16; 149; 4; 106; 26;1 406
Kraftrad mit Versicherungskennzeichen 1; 0; 2; 8; 0; 2; 1; 0; 0; 1; 0; 0; 0; 0; 14
Kraftrad mit amtlichem Kennzeichen 2; 0; 17; 104; 1; 6; 5; 3; 3; 4; 3; 0; 1; 2; 149
Personenkraftwagen; 10; 72; 227; 1; 11; 6; 4; 0; 3; 91; 0; 60; 9; 494
Bus; 0; 5; 13; 0; 2; 0; 0; 0; 0; 2; 0; 2; 2; 26
Lastkraftwagen 3 bis einschließlich 3,5t; 2; 3; 26; 1; 2; 0; 0; 0; 0; 4; 0; 3; 0; 41
Lastkraftwagen 3 über 3,5t; 2; 4; 45; 0; 4; 7; 4; 1; 0; 6; 0; 8; 1; 82
Sattelzugmaschine; 0; 2; 66; 0; 17; 7; 7; 0; 0; 6; 0; 6; 1; 112
übriges Güterkraftfahrzeug; 0; 3; 3; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 8
Landwirt. Zugmaschine; 1; 10; 10; 0; 2; 0; 0; 0; 0; 1; 0; 1; 0; 25
Fahrrad 4; 0; 6; 63; 5; 4; 23; 24; 7; 6; 13; 0; 5; 1; 157
Straßenbahn; 2; 0; 5; 0; 0; 0; 0; 0; 0; 9; 0; 13; 1; 30
Fußgänger 5; 1; 2; 145; 5; 18; 17; 12; 7; 2; 4; 4; 0; 9; 226
anderer Verkehrsteilnehmer; 0; 4; 22; 0; 0; 0; 0; 0; 0; 10; 0; 6; 0; 42
Unfälle mit Personenschaden - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;2 702;3 025;5 965; 585; 159; 66; 37; 27; 125;20 888; 73; 0;1 225;34 877
Unfälle zwischen zwei Beteiligten insg.;2 463;2 893;93 654;1 117;4 308;1 620; 893; 198; 300;19 902; 99;6 022;2 918; 136 387
Kraftrad mit Versicherungskennzeichen 1; 78; 30;3 756; 26; 193; 60; 29; 11; 17; 171; 0; 112; 125;4 608
Kraftrad mit amtlichem Kennzeichen 2; 50; 180;5 564; 44; 244; 68; 45; 13; 31; 291; 3; 128; 163;6 824
Personenkraftwagen;1 810;2 188;36 305; 335;1 688; 749; 479; 72; 137;10 288; 30;3 361; 653;58 095
Bus; 32; 27;1 277; 45; 55; 27; 15; 3; 4; 243; 1; 252; 89;2 070
Lastkraftwagen 3 bis einschließlich 3,5t; 86; 71; 869; 8; 75; 20; 22; 2; 7; 283; 2; 102; 28;1 575
Lastkraftwagen 3 über 3,5t; 27; 27; 441; 11; 35; 23; 9; 3; 2; 124; 2; 30; 8; 742
Sattelzugmaschine; 3; 16; 231; 7; 12; 10; 15; 1; 1; 44; 0; 18; 10; 368
übriges Güterkraftfahrzeug; 2; 3; 62; 5; 0; 3; 3; 1; 0; 16; 0; 6; 4; 105
Landwirt. Zugmaschine; 9; 12; 107; 2; 5; 1; 1; 0; 2; 23; 0; 5; 3; 170
Fahrrad 4; 201; 186;31 604; 250;1 327; 451; 199; 49; 60;5 898; 5;1 666;1 226;43 122
Straßenbahn; 8; 4; 438; 3; 13; 7; 6; 0; 0; 131; 8; 250; 22; 890
Fußgänger 5; 132; 109;11 956; 300; 615; 172; 58; 38; 27;2 138; 39; 0; 513;16 097
anderer Verkehrsteilnehmer; 25; 40;1 044; 81; 46; 29; 12; 5; 12; 252; 9; 92; 74;1 721
Unfälle mit Personenschaden – Außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 857;5 749;15 864; 61; 620; 187; 299; 49; 190;4 995; 1; 0; 197;29 069
Unfälle zwischen zwei Beteiligten insg.; 402;2 382;31 363; 135;1 902;1 066;1 238; 123; 454;2 723; 1; 390; 888;43 067
Kraftrad mit Versicherungskennzeichen 1; 17; 20; 580; 2; 27; 12; 12; 2; 6; 16; 0; 4; 41; 739
Kraftrad mit amtlichem Kennzeichen 2; 16; 410;2 353; 13; 123; 60; 41; 11; 90; 123; 0; 20; 142;3 402
Personenkraftwagen; 269;1 611;22 171; 72;1 173; 686; 866; 76; 240; 979; 1; 190; 399;28 733
Bus; 4; 18; 134; 3; 7; 8; 8; 4; 1; 9; 0; 3; 6; 205
Lastkraftwagen 3 bis einschließlich 3,5t; 12; 57; 681; 3; 88; 46; 36; 1; 4; 34; 0; 11; 16; 989
Lastkraftwagen 3 über 3,5t; 8; 32; 703; 6; 100; 80; 78; 4; 3; 21; 0; 7; 11;1 053
Sattelzugmaschine; 5; 27; 997; 3; 160; 82; 126; 6; 4; 20; 0; 15; 13;1 458
übriges Güterkraftfahrzeug; 0; 8; 91; 2; 9; 8; 9; 1; 2; 3; 0; 1; 2; 136
Landwirt. Zugmaschine; 6; 64; 310; 1; 12; 10; 3; 0; 5; 19; 0; 1; 4; 435
Fahrrad 4; 41; 81;2 517; 20; 139; 53; 29; 15; 70;1 231; 0; 134; 211;4 541
Straßenbahn; 0; 0; 5; 1; 0; 0; 0; 0; 1; 4; 0; 1; 0; 12
Fußgänger 5; 13; 17; 547; 8; 41; 5; 8; 3; 12; 218; 0; 0; 36; 908
anderer Verkehrsteilnehmer; 11; 37; 274; 1; 23; 16; 22; 0; 16; 46; 0; 3; 7; 456
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;3 559;8 774;21 829; 646; 779; 253; 336; 76; 315;25 883; 74; 0;1 422;63 946
Unfälle zwischen zwei Beteiligten insg.;2 865;5 275; 125 017;1 252;6 210;2 686;2 131; 321; 754;22 625; 100;6 412;3 806; 179 454
Kraftrad mit Versicherungskennzeichen 1; 95; 50;4 336; 28; 220; 72; 41; 13; 23; 187; 0; 116; 166;5 347
Kraftrad mit amtlichem Kennzeichen 2; 66; 590;7 917; 57; 367; 128; 86; 24; 121; 414; 3; 148; 305;10 226
Personenkraftwagen;2 079;3 799;58 476; 407;2 861;1 435;1 345; 148; 377;11 267; 31;3 551;1 052;86 828
Bus; 36; 45;1 411; 48; 62; 35; 23; 7; 5; 252; 1; 255; 95;2 275
Lastkraftwagen 3 bis einschließlich 3,5t; 98; 128;1 550; 11; 163; 66; 58; 3; 11; 317; 2; 113; 44;2 564
Lastkraftwagen 3 über 3,5t; 35; 59;1 144; 17; 135; 103; 87; 7; 5; 145; 2; 37; 19;1 795
Sattelzugmaschine; 8; 43;1 228; 10; 172; 92; 141; 7; 5; 64; 0; 33; 23;1 826
übriges Güterkraftfahrzeug; 2; 11; 153; 7; 9; 11; 12; 2; 2; 19; 0; 7; 6; 241
Landwirt. Zugmaschine; 15; 76; 417; 3; 17; 11; 4; 0; 7; 42; 0; 6; 7; 605
Fahrrad 4; 242; 267;34 121; 270;1 466; 504; 228; 64; 130;7 129; 5;1 800;1 437;47 663
Straßenbahn; 8; 4; 443; 4; 13; 7; 6; 0; 1; 135; 8; 251; 22; 902
Fußgänger 5; 145; 126;12 503; 308; 656; 177; 66; 41; 39;2 356; 39; 0; 549;17 005
anderer Verkehrsteilnehmer; 36; 77;1 318; 82; 69; 45; 34; 5; 28; 298; 9; 95; 81;2 177
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 30; 41;5 654; 7; 170; 38; 39; 15; 13; 0; 0; 0; 7;6 014
Unfälle zwischen zwei Beteiligten insg.; 158; 142;21 147; 118;1 032; 499; 329; 65; 78; 70; 6; 27;1 356;25 027
Kraftrad mit Versicherungskennzeichen 1; 1; 1; 140; 0; 15; 5; 0; 0; 0; 2; 0; 1; 10; 175
Kraftrad mit amtlichem Kennzeichen 2; 1; 2; 272; 2; 37; 14; 6; 2; 1; 5; 0; 0; 40; 382
Personenkraftwagen; 147; 124;18 686; 104; 862; 430; 292; 59; 66; 61; 6; 26;1 243;22 106
Bus; 2; 2; 239; 2; 8; 3; 1; 0; 2; 0; 0; 0; 5; 264
Lastkraftwagen 3 bis einschließlich 3,5t; 4; 7; 645; 2; 53; 16; 6; 2; 3; 1; 0; 0; 35; 774
Lastkraftwagen 3 über 3,5t; 1; 3; 371; 3; 16; 13; 5; 0; 2; 0; 0; 0; 6; 420
Sattelzugmaschine; 0; 0; 197; 2; 13; 6; 14; 0; 2; 0; 0; 0; 3; 237
übriges Güterkraftfahrzeug; 0; 2; 55; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 60
Landwirt. Zugmaschine; 0; 0; 68; 0; 7; 4; 0; 0; 2; 0; 0; 0; 2; 83
Fahrrad 4; 0; 0; 32; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 32
Straßenbahn; 0; 1; 230; 0; 15; 1; 0; 0; 0; 0; 0; 0; 2; 249
Fußgänger 5; 0; 0; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 9
anderer Verkehrsteilnehmer; 2; 0; 203; 3; 5; 6; 4; 2; 0; 1; 0; 0; 10; 236
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 13; 101;9 511; 4; 441; 100; 209; 5; 13; 0; 0; 0; 15;10 412
Unfälle zwischen zwei Beteiligten insg.; 17; 113;9 217; 32; 568; 412; 597; 47; 124; 14; 0; 3; 649;11 793
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 23; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1; 26
Kraftrad mit amtlichem Kennzeichen 2; 0; 6; 92; 0; 9; 6; 2; 2; 2; 1; 0; 0; 8; 128
Personenkraftwagen; 16; 96;7 396; 28; 403; 334; 441; 38; 106; 12; 0; 2; 564;9 436
Bus; 0; 0; 50; 0; 4; 1; 0; 0; 0; 0; 0; 0; 1; 56
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 2; 382; 0; 35; 22; 30; 3; 5; 0; 0; 1; 23; 503
Lastkraftwagen 3 über 3,5t; 0; 2; 401; 4; 42; 18; 38; 2; 2; 0; 0; 0; 15; 524
Sattelzugmaschine; 1; 3; 614; 0; 56; 26; 78; 1; 4; 0; 0; 0; 26; 809
übriges Güterkraftfahrzeug; 0; 0; 44; 0; 2; 2; 0; 0; 0; 0; 0; 0; 4; 52
Landwirt. Zugmaschine; 0; 1; 119; 0; 8; 1; 4; 1; 2; 0; 0; 0; 1; 137
Fahrrad 4; 0; 1; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8
Straßenbahn; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3
Fußgänger 5; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
anderer Verkehrsteilnehmer; 0; 2; 85; 0; 7; 2; 4; 0; 3; 1; 0; 0; 6; 110
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 43; 142;15 165; 11; 611; 138; 248; 20; 26; 0; 0; 0; 22;16 426
Unfälle zwischen zwei Beteiligten insg.; 175; 255;30 364; 150;1 600; 911; 926; 112; 202; 84; 6; 30;2 005;36 820
Kraftrad mit Versicherungskennzeichen 1; 1; 1; 163; 0; 17; 5; 0; 0; 0; 2; 0; 1; 11; 201
Kraftrad mit amtlichem Kennzeichen 2; 1; 8; 364; 2; 46; 20; 8; 4; 3; 6; 0; 0; 48; 510
Personenkraftwagen; 163; 220;26 082; 132;1 265; 764; 733; 97; 172; 73; 6; 28;1 807;31 542
Bus; 2; 2; 289; 2; 12; 4; 1; 0; 2; 0; 0; 0; 6; 320
Lastkraftwagen 3 bis einschließlich 3,5t; 4; 9;1 027; 2; 88; 38; 36; 5; 8; 1; 0; 1; 58;1 277
Lastkraftwagen 3 über 3,5t; 1; 5; 772; 7; 58; 31; 43; 2; 4; 0; 0; 0; 21; 944
Sattelzugmaschine; 1; 3; 811; 2; 69; 32; 92; 1; 6; 0; 0; 0; 29;1 046
übriges Güterkraftfahrzeug; 0; 2; 99; 0; 3; 3; 1; 0; 0; 0; 0; 0; 4; 112
Landwirt. Zugmaschine; 0; 1; 187; 0; 15; 5; 4; 1; 4; 0; 0; 0; 3; 220
Fahrrad 4; 0; 1; 39; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 40
Straßenbahn; 0; 1; 233; 0; 15; 1; 0; 0; 0; 0; 0; 0; 2; 252
Fußgänger 5; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 10
anderer Verkehrsteilnehmer; 2; 2; 288; 3; 12; 8; 8; 2; 3; 2; 0; 0; 16; 346
Auf Autobahnen - Unfälle mit Getöteten ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 0; 14; 41; 0; 2; 2; 5; 1; 0; 0; 0; 0; 0; 65
Unfälle zwischen zwei Beteiligten insg.; 0; 6; 64; 0; 22; 14; 14; 1; 0; 1; 0; 4; 1; 127
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Kraftrad mit amtlichem Kennzeichen 2; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2
Personenkraftwagen; 0; 4; 22; 0; 2; 2; 1; 0; 0; 0; 0; 4; 0; 35
Bus; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 0; 3; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 4
Lastkraftwagen 3 über 3,5t; 0; 1; 12; 0; 3; 6; 4; 1; 0; 0; 0; 0; 1; 28
Sattelzugmaschine; 0; 1; 24; 0; 13; 5; 6; 0; 0; 1; 0; 0; 0; 50
übriges Güterkraftfahrzeug; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1
Landwirt. Zugmaschine; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fahrrad 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 0; 0; 2; 1; 3; 0; 0; 0; 0; 0; 0; 6
anderer Verkehrsteilnehmer; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Auf Autobahnen – Unfälle mit Personenschaden ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 1; 341;3 078; 2; 171; 64; 157; 8; 2; 3; 0; 0; 27;3 854
Unfälle zwischen zwei Beteiligten insg.; 1; 166;5 867; 8; 609; 369; 725; 25; 1; 3; 0; 31; 115;7 920
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Kraftrad mit amtlichem Kennzeichen 2; 0; 14; 100; 0; 10; 4; 10; 0; 0; 0; 0; 1; 7; 146
Personenkraftwagen; 1; 131;4 517; 7; 338; 226; 499; 18; 1; 2; 0; 16; 86;5 842
Bus; 0; 0; 10; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 13
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 6; 189; 1; 44; 24; 23; 0; 0; 0; 0; 1; 5; 293
Lastkraftwagen 3 über 3,5t; 0; 4; 289; 0; 63; 44; 61; 3; 0; 0; 0; 2; 2; 468
Sattelzugmaschine; 0; 7; 652; 0; 132; 61; 111; 4; 0; 1; 0; 10; 5; 983
übriges Güterkraftfahrzeug; 0; 1; 25; 0; 7; 4; 7; 0; 0; 0; 0; 0; 1; 45
Landwirt. Zugmaschine; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2
Fahrrad 4; 0; 1; 12; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 15
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 26; 0; 6; 1; 5; 0; 0; 0; 0; 0; 6; 44
anderer Verkehrsteilnehmer; 0; 2; 46; 0; 8; 3; 9; 0; 0; 0; 0; 0; 1; 69
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.) ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 0; 17;3 811; 1; 224; 56; 158; 0; 0; 0; 0; 0; 6;4 273
Unfälle zwischen zwei Beteiligten insg.; 0; 9;2 139; 3; 235; 193; 391; 17; 0; 0; 0; 0; 325;3 312
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Kraftrad mit amtlichem Kennzeichen 2; 0; 1; 4; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 8
Personenkraftwagen; 0; 7;1 425; 3; 135; 147; 268; 15; 0; 0; 0; 0; 280;2 280
Bus; 0; 0; 3; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 4
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 0; 110; 0; 17; 13; 25; 0; 0; 0; 0; 0; 14; 179
Lastkraftwagen 3 über 3,5t; 0; 0; 156; 0; 27; 11; 29; 1; 0; 0; 0; 0; 10; 234
Sattelzugmaschine; 0; 1; 401; 0; 50; 19; 64; 1; 0; 0; 0; 0; 18; 554
übriges Güterkraftfahrzeug; 0; 0; 14; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 17
Landwirt. Zugmaschine; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2
Fahrrad 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
anderer Verkehrsteilnehmer; 0; 0; 25; 0; 3; 0; 4; 0; 0; 0; 0; 0; 2; 34
1 Einschl. S-Pedelecs und drei- und leichten vierrädrigen Kfz.;;;;;;;;;;;;;;
2 Einschl. drei- und schweren vierrädrigen Kfz.;;;;;;;;;;;;;;
3 Ohne Lastkraftwagen mit Tankauflage.;;;;;;;;;;;;;;
4 Einschl. Pedelecs.;;;;;;;;;;;;;;
5 Einschl.    Fußgänger .......rt- und Spielgeräten.;;;;;;;;;;;;;;
6 Wohnmobile, Eisenbahnen etc..;;;;;;;;;;;;;;
Vorstehende Fußnoten gelten auch für die Vorspalte.;;;;;;;;;;;;;;
