Unfälle mit Getöteten - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Lastkraftwagen 3 bis einschließlich 3,5t;0;1;2;0;0;0;1;0;0;0;0;1;0;5
Lastkraftwagen 3 über 3,5t;0;1;13;0;5;1;1;0;0;0;0;1;0;22
Sattelzugmaschine;0;3;31;2;23;8;8;1;0;0;0;3;3;82
übriges Güterkraftfahrzeug;0;0;1;0;0;1;0;0;0;0;0;0;0;2
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;0;0;0;0;1;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;0;2;0;1;0;0;0;0;0;0;0;0;3
Auf Autobahnen – Unfälle mit Personenschaden;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;2;419;3269;13;202;86;209;10;1;1;0;0;25;4237
Unfälle zwischen zwei Beteiligten insg.;2;256;8061;29;823;489;984;36;4;6;0;29;138;10857
Kraftrad mit Versicherungskennzeichen 1;0;0;2;0;0;1;0;0;0;0;0;0;0;3
Kraftrad mit amtlichem Kennzeichen 2;0;15;126;0;10;5;11;0;0;0;0;1;3;171
Personenkraftwagen;2;203;6348;20;492;325;668;22;4;3;0;17;108;8212
Bus;0;0;31;0;2;0;3;0;0;0;0;1;0;37
Lastkraftwagen 3 bis einschließlich 3,5t;0;8;277;0;45;18;39;1;0;0;0;1;4;393
Lastkraftwagen 3 über 3,5t;0;8;340;2;76;52;75;3;0;0;0;2;6;564
Sattelzugmaschine;0;17;822;7;180;79;168;6;0;0;0;7;15;1301
übriges Güterkraftfahrzeug;0;1;24;0;6;2;2;4;0;0;0;0;0;39
Landwirt. Zugmaschine;0;0;1;0;0;0;1;0;0;0;0;0;0;2
Fahrrad 4;0;0;2;0;0;0;0;0;0;3;0;0;0;5
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;30;0;4;3;11;0;0;0;0;0;1;49
anderer Verkehrsteilnehmer;0;4;58;0;8;4;6;0;0;0;0;0;1;81
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;0;12;4097;5;208;76;159;5;1;0;0;0;5;4568
Unfälle zwischen zwei Beteiligten insg.;0;13;2811;9;266;286;482;27;0;1;0;1;410;4306
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;5;0;1;0;1;0;0;0;0;0;1;8
Personenkraftwagen;0;12;1864;8;169;221;332;23;0;1;0;0;349;2979
Bus;0;0;15;0;0;0;1;0;0;0;0;0;1;17
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;122;0;19;17;30;0;0;0;0;1;20;209
Lastkraftwagen 3 über 3,5t;0;1;223;0;30;18;32;0;0;0;0;0;14;318
Sattelzugmaschine;0;0;527;1;39;26;79;4;0;0;0;0;21;697
übriges Güterkraftfahrzeug;0;0;18;0;6;0;1;0;0;0;0;0;2;27
Landwirt. Zugmaschine;0;0;1;0;0;0;1;0;0;0;0;0;1;3
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;36;0;2;4;5;0;0;0;0;0;1;48
