Unfälle mit Getöteten - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;2842;3320;7095;568;189;61;50;50;114;11484;79;0;254;26106
Unfälle zwischen zwei Beteiligten insg.;3493;3629;117724;1400;5873;2141;1053;302;373;19303;165;7840;2717;166013
Kraftrad mit Versicherungskennzeichen 1;62;41;5438;47;269;86;30;14;15;185;1;156;207;6551
Kraftrad mit amtlichem Kennzeichen 2;56;145;8053;66;387;103;50;12;53;301;1;228;215;9670
Personenkraftwagen;2701;2817;50548;442;2445;1004;579;145;162;10595;53;4943;480;76914
Bus;38;35;1613;28;75;42;27;0;8;262;3;341;98;2570
Lastkraftwagen 3 bis einschließlich 3,5t;105;124;1340;18;103;40;15;3;8;379;5;158;17;2315
Lastkraftwagen 3 über 3,5t;50;41;634;16;36;39;13;1;9;134;4;42;15;1034
Sattelzugmaschine;15;26;286;5;16;14;22;1;0;66;0;30;3;484
übriges Güterkraftfahrzeug;4;8;112;2;8;4;3;1;2;22;0;6;2;174
Landwirt. Zugmaschine;10;15;137;1;3;4;2;0;2;16;0;15;1;206
Fahrrad 4;230;182;32863;279;1656;528;206;68;63;4638;12;1524;1017;43266
Straßenbahn;8;5;555;4;34;11;6;2;0;139;16;334;22;1136
Fußgänger 5;181;155;15465;413;809;224;84;49;29;2406;59;0;609;20483
anderer Verkehrsteilnehmer;33;35;680;79;32;42;16;6;22;160;11;63;31;1210
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;846;5467;20916;55;730;260;346;69;141;2224;0;0;138;31192
Unfälle zwischen zwei Beteiligten insg.;514;2524;37702;185;2170;1320;1368;157;552;1930;0;476;957;49855
Kraftrad mit Versicherungskennzeichen 1;22;18;843;7;37;36;21;4;13;22;0;12;40;1075
Kraftrad mit amtlichem Kennzeichen 2;21;374;2731;17;126;69;40;12;114;106;0;18;153;3781
Personenkraftwagen;333;1771;27441;103;1474;830;937;93;315;883;0;291;473;34944
Bus;1;18;175;3;10;12;11;1;2;9;0;5;8;255
Lastkraftwagen 3 bis einschließlich 3,5t;13;74;1045;6;97;60;62;6;13;33;0;15;28;1452
Lastkraftwagen 3 über 3,5t;15;55;917;7;110;115;85;11;12;23;0;8;16;1374
Sattelzugmaschine;5;32;1049;8;119;99;153;8;5;9;0;9;12;1508
übriges Güterkraftfahrzeug;2;9;132;0;8;12;8;5;1;2;0;2;5;186
Landwirt. Zugmaschine;11;53;288;3;16;7;5;0;5;10;0;4;4;406
Fahrrad 4;55;61;2113;14;103;46;25;12;50;663;0;97;164;3403
Straßenbahn;0;0;10;0;0;0;0;0;1;0;0;7;0;18
Fußgänger 5;28;24;659;7;46;15;9;4;17;152;0;0;37;998
anderer Verkehrsteilnehmer;8;35;299;10;24;19;12;1;4;18;0;8;17;455
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;3688;8787;28011;623;919;321;396;119;255;13708;79;0;392;57298
Unfälle zwischen zwei Beteiligten insg.;4007;6153;155426;1585;8043;3461;2421;459;925;21233;165;8316;3674;215868
Kraftrad mit Versicherungskennzeichen 1;84;59;6281;54;306;122;51;18;28;207;1;168;247;7626
Kraftrad mit amtlichem Kennzeichen 2;77;519;10784;83;513;172;90;24;167;407;1;246;368;13451
Personenkraftwagen;3034;4588;77989;545;3919;1834;1516;238;477;11478;53;5234;953;111858
Bus;39;53;1788;31;85;54;38;1;10;271;3;346;106;2825
Lastkraftwagen 3 bis einschließlich 3,5t;118;198;2385;24;200;100;77;9;21;412;5;173;45;3767
Lastkraftwagen 3 über 3,5t;65;96;1551;23;146;154;98;12;21;157;4;50;31;2408
Sattelzugmaschine;20;58;1335;13;135;113;175;9;5;75;0;39;15;1992
übriges Güterkraftfahrzeug;6;17;244;2;16;16;11;6;3;24;0;8;7;360
Landwirt. Zugmaschine;21;68;425;4;19;11;7;0;7;26;0;19;5;612
Fahrrad 4;285;243;34976;293;1759;574;231;80;113;5301;12;1621;1181;46669
Straßenbahn;8;5;565;4;34;11;6;2;1;139;16;341;22;1154
Fußgänger 5;209;179;16124;420;855;239;93;53;46;2558;59;0;646;21481
anderer Verkehrsteilnehmer;41;70;979;89;56;61;28;7;26;178;11;71;48;1665
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;32;39;6285;10;174;47;36;11;9;0;0;0;15;6658
Unfälle zwischen zwei Beteiligten insg.;181;204;27627;117;1218;528;296;76;76;73;11;57;1496;31960
Kraftrad mit Versicherungskennzeichen 1;2;0;180;2;14;2;3;1;0;3;0;0;17;224
Kraftrad mit amtlichem Kennzeichen 2;0;7;368;2;27;12;4;2;0;4;0;2;57;485
Personenkraftwagen;167;191;24402;109;1048;458;260;64;66;59;11;54;1356;28245
Bus;1;1;298;0;8;2;0;0;0;1;0;0;2;313
Lastkraftwagen 3 bis einschließlich 3,5t;7;1;961;2;51;25;11;3;2;5;0;1;33;1102
Lastkraftwagen 3 über 3,5t;0;0;524;0;33;15;7;2;4;0;0;0;11;596
Sattelzugmaschine;2;1;221;0;13;10;8;2;1;0;0;0;8;266
übriges Güterkraftfahrzeug;1;1;77;1;2;1;3;2;0;0;0;0;1;89
Landwirt. Zugmaschine;0;0;87;0;2;1;0;0;3;1;0;0;3;97
Fahrrad 4;0;0;20;0;1;0;0;0;0;0;0;0;0;21
Straßenbahn;0;0;302;0;8;2;0;0;0;0;0;0;1;313
Fußgänger 5;0;0;9;0;0;0;0;0;0;0;0;0;0;9
anderer Verkehrsteilnehmer;1;2;178;1;11;0;0;0;0;0;0;0;7;200
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;14;93;10756;5;431;139;231;26;9;0;0;0;21;11725
Unfälle zwischen zwei Beteiligten insg.;17;144;11130;47;630;493;577;59;127;11;0;13;818;14066
Kraftrad mit Versicherungskennzeichen 1;0;0;17;0;0;0;0;0;0;0;0;0;0;17
Kraftrad mit amtlichem Kennzeichen 2;0;16;115;1;4;4;6;1;4;0;0;0;14;165
Personenkraftwagen;16;120;8918;36;480;393;427;49;111;11;0;12;694;11267
Bus;0;0;70;1;3;2;1;0;0;0;0;0;0;77
Lastkraftwagen 3 bis einschließlich 3,5t;0;3;529;1;35;24;18;5;4;0;0;0;32;651
Lastkraftwagen 3 über 3,5t;0;1;503;2;33;16;38;1;1;0;0;1;26;622
Sattelzugmaschine;1;1;644;2;52;46;68;3;3;0;0;0;46;866
übriges Güterkraftfahrzeug;0;0;70;2;2;1;4;0;0;0;0;0;1;80
Landwirt. Zugmaschine;0;2;137;1;10;2;7;0;1;0;0;0;3;163
Fahrrad 4;0;0;2;0;0;0;0;0;0;0;0;0;0;2
Straßenbahn;0;0;3;0;0;0;0;0;1;0;0;0;0;4
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;1;122;1;11;5;8;0;2;0;0;0;2;152
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;46;132;17041;15;605;186;267;37;18;0;0;0;36;18383
Unfälle zwischen zwei Beteiligten insg.;198;348;38757;164;1848;1021;873;135;203;84;11;70;2314;46026
Kraftrad mit Versicherungskennzeichen 1;2;0;197;2;14;2;3;1;0;3;0;0;17;241
Kraftrad mit amtlichem Kennzeichen 2;0;23;483;3;31;16;10;3;4;4;0;2;71;650
Personenkraftwagen;183;311;33320;145;1528;851;687;113;177;70;11;66;2050;39512
Bus;1;1;368;1;11;4;1;0;0;1;0;0;2;390
Lastkraftwagen 3 bis einschließlich 3,5t;7;4;1490;3;86;49;29;8;6;5;0;1;65;1753
Lastkraftwagen 3 über 3,5t;0;1;1027;2;66;31;45;3;5;0;0;1;37;1218
Sattelzugmaschine;3;2;865;2;65;56;76;5;4;0;0;0;54;1132
übriges Güterkraftfahrzeug;1;1;147;3;4;2;7;2;0;0;0;0;2;169
Landwirt. Zugmaschine;0;2;224;1;12;3;7;0;4;1;0;0;6;260
Fahrrad 4;0;0;22;0;1;0;0;0;0;0;0;0;0;23
Straßenbahn;0;0;305;0;8;2;0;0;1;0;0;0;1;317
Fußgänger 5;0;0;9;0;0;0;0;0;0;0;0;0;0;9
anderer Verkehrsteilnehmer;1;3;300;2;22;5;8;0;2;0;0;0;9;352
Auf Autobahnen - Unfälle mit Getöteten;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;0;16;52;1;1;0;1;0;0;0;0;0;1;72
Unfälle zwischen zwei Beteiligten insg.;0;6;81;0;16;7;17;0;0;0;0;13;0;140
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;1;7;0;0;0;0;0;0;0;0;0;0;8
Personenkraftwagen;0;3;33;0;2;2;8;0;0;0;0;7;0;55
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;3;0;0;0;1;0;0;0;0;1;0;5
Lastkraftwagen 3 über 3,5t;0;1;10;0;5;2;4;0;0;0;0;2;0;24
Sattelzugmaschine;0;1;25;0;9;3;4;0;0;0;0;3;0;45
übriges Güterkraftfahrzeug;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;1;0;0;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Auf Autobahnen – Unfälle mit Personenschaden;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;3;417;3602;11;186;80;180;12;2;1;0;0;22;4516
Unfälle zwischen zwei Beteiligten insg.;1;221;7207;30;601;434;737;28;3;2;0;28;148;9440
Kraftrad mit Versicherungskennzeichen 1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Kraftrad mit amtlichem Kennzeichen 2;0;16;132;1;7;5;5;0;0;0;0;0;13;179
Personenkraftwagen;1;179;5658;18;371;275;506;17;3;2;0;19;114;7163
Bus;0;2;26;0;2;1;5;0;0;0;0;0;1;37
Lastkraftwagen 3 bis einschließlich 3,5t;0;2;259;1;35;22;31;1;0;0;0;1;8;360
Lastkraftwagen 3 über 3,5t;0;8;342;3;62;46;60;5;0;0;0;3;3;532
Sattelzugmaschine;0;11;657;6;102;73;116;4;0;0;0;4;3;976
übriges Güterkraftfahrzeug;0;0;31;0;5;4;7;1;0;0;0;1;3;52
Landwirt. Zugmaschine;0;0;3;0;0;1;0;0;0;0;0;0;0;4
Fahrrad 4;0;0;5;0;0;0;0;0;0;0;0;0;0;5
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;27;0;6;0;3;0;0;0;0;0;0;36
anderer Verkehrsteilnehmer;0;3;66;1;11;7;4;0;0;0;0;0;3;95
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;0;18;4534;3;180;77;157;9;0;0;0;0;10;4988
Unfälle zwischen zwei Beteiligten insg.;0;19;2466;12;201;220;356;17;0;0;0;2;425;3718
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;3;0;1;1;2;0;0;0;0;0;3;10
Personenkraftwagen;0;19;1676;11;133;168;261;15;0;0;0;2;352;2637
Bus;0;0;15;0;0;0;0;0;0;0;0;0;0;15
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;109;0;10;9;14;0;0;0;0;0;16;158
Lastkraftwagen 3 über 3,5t;0;0;197;0;19;10;19;0;0;0;0;0;14;259
Sattelzugmaschine;0;0;410;1;34;30;52;2;0;0;0;0;39;568
übriges Güterkraftfahrzeug;0;0;21;0;1;0;0;0;0;0;0;0;0;22
Landwirt. Zugmaschine;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;34;0;3;2;8;0;0;0;0;0;1;48
