Deutschland ;;;;;;;;;;;;;;
3 Beteiligte an Straßenverkehrsunfällen 2019;;;;;;;;;;;;;;
3.1 Alleinunfälle und Unfälle mit zwei Beteiligten nach Ortslage;;;;;;;;;;;;;;
3.1.1 Nach Unfallverursacher und Unfallgegner ;;;;;;;;;;;;;;
"Spalten: Der erste Beteiligte (Hauptverursacher) war ein(e) ...
Zeilen: Der zweite Beteiligte (Nebenverursacher) war ein(e) ...";;;;;;;;;;;;;;
Sattelzugmaschine; 13; 21; 278; 5; 13; 19; 16; 1; 1; 52; 1; 28; 8; 456
übriges Güterkraftfahrzeug; 2; 4; 111; 4; 10; 4; 4; 1; 1; 19; 1; 9; 2; 172
Landwirt. Zugmaschine; 7; 14; 132; 1; 3; 2; 1; 0; 6; 22; 0; 9; 4; 201
Fahrrad 4; 203; 168;33 996; 284;1 450; 485; 221; 59; 55;5 414; 9;1 646;1 220;45 210
Straßenbahn; 3; 7; 607; 7; 26; 22; 12; 3; 0; 164; 10; 337; 25;1 223
Fußgänger 5; 134; 126;15 327; 437; 756; 195; 73; 34; 40;2 384; 67; 0; 622;20 195
anderer Verkehrsteilnehmer; 33; 31; 820; 94; 46; 27; 17; 3; 9; 191; 8; 58; 47;1 384
Unfälle mit Personenschaden – Außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 783;5 495;18 504; 69; 680; 195; 342; 74; 153;3 196; 1; 0; 181;29 673
Unfälle zwischen zwei Beteiligten insg.; 443;2 398;38 757; 200;2 276;1 229;1 532; 131; 500;2 153; 0; 378; 866;50 863
Kraftrad mit Versicherungskennzeichen 1; 20; 11; 670; 9; 25; 26; 10; 2; 12; 22; 0; 7; 40; 854
Kraftrad mit amtlichem Kennzeichen 2; 23; 366;2 579; 13; 89; 67; 52; 6; 93; 93; 0; 12; 124;3 517
Personenkraftwagen; 282;1 700;28 704; 125;1 517; 790;1 109; 88; 286; 899; 0; 250; 404;36 154
Bus; 2; 14; 206; 2; 16; 13; 10; 0; 4; 8; 0; 4; 10; 289
Lastkraftwagen 3 bis einschließlich 3,5t; 14; 70; 921; 4; 112; 43; 41; 9; 8; 32; 0; 8; 21;1 283
Lastkraftwagen 3 über 3,5t; 13; 44; 835; 6; 113; 99; 66; 6; 7; 27; 0; 4; 25;1 245
Sattelzugmaschine; 3; 31;1 236; 10; 199; 104; 172; 7; 5; 17; 0; 8; 22;1 814
übriges Güterkraftfahrzeug; 2; 7; 128; 1; 9; 9; 11; 4; 2; 2; 0; 1; 2; 178
Landwirt. Zugmaschine; 4; 52; 304; 1; 17; 5; 6; 0; 9; 12; 0; 0; 0; 410
Fahrrad 4; 54; 64;2 304; 14; 107; 43; 31; 7; 53; 866; 0; 79; 165;3 787
Straßenbahn; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 9
Fußgänger 5; 17; 7; 595; 11; 48; 10; 12; 1; 11; 152; 0; 0; 32; 896
anderer Verkehrsteilnehmer; 9; 32; 269; 4; 24; 20; 12; 1; 10; 23; 0; 2; 21; 427
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle;3 732;8 650;25 566; 747; 865; 265; 382; 104; 298;19 587; 93; 0; 927;61 216
Unfälle zwischen zwei Beteiligten insg.;3 241;5 729; 152 034;1 685;7 237;3 168;2 603; 423; 834;22 524; 153;7 986;3 863; 211 480
Kraftrad mit Versicherungskennzeichen 1; 85; 48;5 245; 53; 234; 96; 38; 12; 27; 183; 1; 149; 172;6 343
Kraftrad mit amtlichem Kennzeichen 2; 67; 533;9 231; 69; 382; 149; 93; 24; 136; 340; 2; 180; 320;11 526
Personenkraftwagen;2 436;4 283;76 112; 583;3 477;1 726;1 719; 239; 437;11 932; 48;4 930; 991; 108 913
Bus; 30; 44;1 912; 60; 98; 60; 29; 5; 7; 286; 2; 372; 131;3 036
Lastkraftwagen 3 bis einschließlich 3,5t; 91; 168;1 974; 20; 200; 75; 60; 12; 12; 320; 2; 123; 44;3 101
Lastkraftwagen 3 über 3,5t; 48; 89;1 447; 27; 138; 117; 76; 10; 13; 145; 2; 52; 35;2 199
Sattelzugmaschine; 16; 52;1 514; 15; 212; 123; 188; 8; 6; 69; 1; 36; 30;2 270
übriges Güterkraftfahrzeug; 4; 11; 239; 5; 19; 13; 15; 5; 3; 21; 1; 10; 4; 350
Landwirt. Zugmaschine; 11; 66; 436; 2; 20; 7; 7; 0; 15; 34; 0; 9; 4; 611
Fahrrad 4; 257; 232;36 300; 298;1 557; 528; 252; 66; 108;6 280; 9;1 725;1 385;48 997
Straßenbahn; 3; 7; 613; 7; 26; 22; 12; 3; 0; 164; 10; 340; 25;1 232
Fußgänger 5; 151; 133;15 922; 448; 804; 205; 85; 35; 51;2 536; 67; 0; 654;21 091
anderer Verkehrsteilnehmer; 42; 63;1 089; 98; 70; 47; 29; 4; 19; 214; 8; 60; 68;1 811
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 29; 39;6 153; 25; 183; 49; 45; 4; 13; 0; 0; 0; 6;6 546
Unfälle zwischen zwei Beteiligten insg.; 152; 151;26 375; 172;1 087; 583; 340; 74; 93; 67; 10; 39;1 497;30 640
Kraftrad mit Versicherungskennzeichen 1; 2; 0; 169; 0; 17; 8; 1; 1; 2; 2; 0; 0; 24; 226
Kraftrad mit amtlichem Kennzeichen 2; 0; 3; 295; 2; 26; 13; 4; 1; 2; 6; 0; 1; 47; 400
Personenkraftwagen; 141; 142;23 389; 157; 925; 506; 292; 63; 83; 57; 9; 35;1 354;27 153
Bus; 1; 1; 318; 3; 10; 1; 2; 2; 0; 0; 0; 0; 5; 343
Lastkraftwagen 3 bis einschließlich 3,5t; 5; 3; 779; 5; 44; 26; 15; 2; 4; 2; 1; 2; 35; 923
Lastkraftwagen 3 über 3,5t; 0; 2; 499; 1; 21; 11; 6; 0; 0; 0; 0; 1; 7; 548
Sattelzugmaschine; 0; 0; 199; 1; 10; 4; 16; 2; 1; 0; 0; 0; 7; 240
übriges Güterkraftfahrzeug; 1; 0; 74; 0; 4; 3; 1; 1; 1; 0; 0; 0; 2; 87
Landwirt. Zugmaschine; 0; 0; 99; 0; 2; 2; 0; 1; 0; 0; 0; 0; 3; 107
Fahrrad 4; 0; 0; 29; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 32
Straßenbahn; 0; 0; 303; 2; 13; 2; 0; 0; 0; 0; 0; 0; 2; 322
Fußgänger 5; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 11
anderer Verkehrsteilnehmer; 2; 0; 211; 1; 14; 5; 3; 1; 0; 0; 0; 0; 11; 248
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 13; 88;10 814; 5; 453; 128; 187; 9; 17; 0; 0; 0; 16;11 730
Unfälle zwischen zwei Beteiligten insg.; 21; 107;11 534; 55; 656; 486; 599; 63; 130; 11; 0; 13; 788;14 463
Kraftrad mit Versicherungskennzeichen 1; 1; 0; 17; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 21
Kraftrad mit amtlichem Kennzeichen 2; 0; 4; 100; 2; 4; 2; 4; 1; 4; 0; 0; 0; 9; 130
Personenkraftwagen; 18; 90;9 374; 44; 483; 386; 451; 46; 113; 11; 0; 11; 695;11 722
Bus; 1; 1; 79; 0; 3; 3; 1; 0; 1; 0; 0; 0; 1; 90
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 5; 392; 2; 48; 25; 23; 4; 3; 0; 0; 1; 16; 519
Lastkraftwagen 3 über 3,5t; 0; 2; 490; 0; 31; 30; 32; 4; 1; 0; 0; 0; 23; 613
Sattelzugmaschine; 1; 3; 751; 4; 67; 31; 77; 4; 2; 0; 0; 1; 32; 973
übriges Güterkraftfahrzeug; 0; 0; 56; 0; 4; 3; 3; 1; 0; 0; 0; 0; 4; 71
Landwirt. Zugmaschine; 0; 1; 125; 2; 5; 2; 2; 2; 3; 0; 0; 0; 1; 143
Fahrrad 4; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3
anderer Verkehrsteilnehmer; 0; 1; 143; 1; 10; 4; 6; 1; 3; 0; 0; 0; 5; 174
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 42; 127;16 967; 30; 636; 177; 232; 13; 30; 0; 0; 0; 22;18 276
Unfälle zwischen zwei Beteiligten insg.; 173; 258;37 909; 227;1 743;1 069; 939; 137; 223; 78; 10; 52;2 285;45 103
Kraftrad mit Versicherungskennzeichen 1; 3; 0; 186; 0; 18; 8; 1; 1; 2; 2; 0; 0; 26; 247
Kraftrad mit amtlichem Kennzeichen 2; 0; 7; 395; 4; 30; 15; 8; 2; 6; 6; 0; 1; 56; 530
Personenkraftwagen; 159; 232;32 763; 201;1 408; 892; 743; 109; 196; 68; 9; 46;2 049;38 875
Bus; 2; 2; 397; 3; 13; 4; 3; 2; 1; 0; 0; 0; 6; 433
Lastkraftwagen 3 bis einschließlich 3,5t; 5; 8;1 171; 7; 92; 51; 38; 6; 7; 2; 1; 3; 51;1 442
Lastkraftwagen 3 über 3,5t; 0; 4; 989; 1; 52; 41; 38; 4; 1; 0; 0; 1; 30;1 161
Sattelzugmaschine; 1; 3; 950; 5; 77; 35; 93; 6; 3; 0; 0; 1; 39;1 213
übriges Güterkraftfahrzeug; 1; 0; 130; 0; 8; 6; 4; 2; 1; 0; 0; 0; 6; 158
Landwirt. Zugmaschine; 0; 1; 224; 2; 7; 4; 2; 3; 3; 0; 0; 0; 4; 250
Fahrrad 4; 0; 0; 33; 0; 1; 2; 0; 0; 0; 0; 0; 0; 0; 36
Straßenbahn; 0; 0; 303; 2; 13; 2; 0; 0; 0; 0; 0; 0; 2; 322
Fußgänger 5; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 14
anderer Verkehrsteilnehmer; 2; 1; 354; 2; 24; 9; 9; 2; 3; 0; 0; 0; 16; 422
Auf Autobahnen - Unfälle mit Getöteten ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 0; 9; 41; 1; 3; 2; 7; 0; 0; 0; 0; 0; 1; 64
Unfälle zwischen zwei Beteiligten insg.; 0; 11; 79; 2; 29; 5; 12; 0; 0; 1; 0; 10; 3; 152
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Kraftrad mit amtlichem Kennzeichen 2; 0; 2; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 4
Personenkraftwagen; 0; 6; 26; 0; 4; 0; 3; 0; 0; 1; 0; 6; 1; 47
Bus; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 1; 3; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 6
Lastkraftwagen 3 über 3,5t; 0; 2; 11; 0; 5; 0; 1; 0; 0; 0; 0; 1; 0; 20
Sattelzugmaschine; 0; 0; 35; 1; 18; 4; 6; 0; 0; 0; 0; 3; 1; 68
übriges Güterkraftfahrzeug; 0; 0; 3; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 5
Landwirt. Zugmaschine; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fahrrad 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2
anderer Verkehrsteilnehmer; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Auf Autobahnen – Unfälle mit Personenschaden ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 1; 392;3 395; 10; 190; 73; 179; 19; 0; 2; 0; 0; 30;4 291
Unfälle zwischen zwei Beteiligten insg.; 2; 232;8 014; 29; 784; 439; 908; 33; 2; 3; 0; 27; 130;10 603
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Kraftrad mit amtlichem Kennzeichen 2; 0; 13; 111; 0; 9; 2; 9; 0; 0; 0; 0; 0; 9; 153
Personenkraftwagen; 2; 177;6 335; 23; 462; 287; 657; 22; 1; 1; 0; 17; 93;8 077
Bus; 0; 2; 41; 0; 4; 2; 3; 0; 0; 0; 0; 0; 1; 53
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 16; 268; 0; 39; 16; 28; 2; 0; 0; 0; 1; 6; 376
Lastkraftwagen 3 über 3,5t; 0; 10; 333; 0; 73; 38; 46; 3; 0; 1; 0; 2; 7; 513
Sattelzugmaschine; 0; 12; 792; 4; 182; 89; 140; 4; 0; 1; 0; 6; 11;1 241
übriges Güterkraftfahrzeug; 0; 0; 32; 0; 5; 2; 11; 1; 1; 0; 0; 1; 0; 53
Landwirt. Zugmaschine; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Fahrrad 4; 0; 0; 8; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 11
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 28; 2; 3; 0; 5; 0; 0; 0; 0; 0; 1; 39
anderer Verkehrsteilnehmer; 0; 2; 65; 0; 6; 3; 8; 0; 0; 0; 0; 0; 2; 86
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.) ;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Alleinunfälle; 0; 15;4 409; 1; 208; 84; 126; 5; 1; 0; 0; 0; 4;4 853
Unfälle zwischen zwei Beteiligten insg.; 0; 17;2 813; 10; 276; 214; 412; 17; 1; 0; 0; 2; 439;4 201
Kraftrad mit Versicherungskennzeichen 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Kraftrad mit amtlichem Kennzeichen 2; 0; 0; 7; 0; 0; 1; 0; 0; 0; 0; 0; 0; 3; 11
Personenkraftwagen; 0; 13;1 929; 6; 182; 161; 295; 13; 1; 0; 0; 1; 382;2 983
Bus; 0; 0; 15; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 17
Lastkraftwagen 3 bis einschließlich 3,5t; 0; 3; 108; 0; 20; 7; 18; 1; 0; 0; 0; 0; 10; 167
Lastkraftwagen 3 über 3,5t; 0; 1; 201; 0; 15; 18; 26; 1; 0; 0; 0; 0; 16; 278
Sattelzugmaschine; 0; 0; 494; 3; 53; 21; 66; 2; 0; 0; 0; 1; 23; 663
übriges Güterkraftfahrzeug; 0; 0; 15; 0; 0; 3; 2; 0; 0; 0; 0; 0; 1; 21
Landwirt. Zugmaschine; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Fahrrad 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Straßenbahn; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Fußgänger 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
anderer Verkehrsteilnehmer; 0; 0; 43; 1; 5; 2; 5; 0; 0; 0; 0; 0; 4; 60
1 Einschl. S-Pedelecs und drei- und leichten vierrädrigen Kfz.;;;;;;;;;;;;;;
2 Einschl. drei- und schweren vierrädrigen Kfz.;;;;;;;;;;;;;;
3 Ohne Lastkraftwagen mit Tankauflage.;;;;;;;;;;;;;;
4 Einschl. Pedelecs.;;;;;;;;;;;;;;
5 Einschl.    Fußgänger .......rt- und Spielgeräten.;;;;;;;;;;;;;;
6 Wohnmobile, Eisenbahnen etc..;;;;;;;;;;;;;;
Vorstehende Fußnoten gelten auch für die Vorspalte.;;;;;;;;;;;;;;
