Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Sattelzugmaschine;1;0;1;3;950;5;77;35;93;6;3;0;39;1213
übriges Güterkraftfahrzeug;0;0;1;0;130;0;8;6;4;2;1;0;6;158
Landwirt. Zugmaschine;0;0;0;1;224;2;7;4;2;3;3;0;4;250
Straßenbahn;0;0;0;0;303;2;13;2;0;0;0;0;2;322
anderer Verkehrsteilnehmer;0;0;2;1;354;2;24;9;9;2;3;0;16;422
Unfälle zwischen zwei Beteiligten insg.;52;78;173;258;37909;227;1743;1069;939;137;223;10;2285;45103
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;1;1;0;0;0;0;0;0;2
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;2;1;0;1;0;0;0;0;0;0;4
Personenkraftwagen;6;1;0;6;26;0;4;0;3;0;0;0;1;47
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;1;3;0;0;1;0;0;0;0;1;6
Lastkraftwagen 3 über 3,5t;1;0;0;2;11;0;5;0;1;0;0;0;0;20
Sattelzugmaschine;3;0;0;0;35;1;18;4;6;0;0;0;1;68
übriges Güterkraftfahrzeug;0;0;0;0;3;0;0;0;2;0;0;0;0;5
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;10;1;0;11;79;2;29;5;12;0;0;0;3;152
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;28;2;3;0;5;0;0;0;1;39
Fahrrad 4;0;0;0;0;8;0;1;0;1;1;0;0;0;11
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;13;111;0;9;2;9;0;0;0;9;153
Personenkraftwagen;17;1;2;177;6335;23;462;287;657;22;1;0;93;8077
Bus;0;0;0;2;41;0;4;2;3;0;0;0;1;53
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;16;268;0;39;16;28;2;0;0;6;376
Lastkraftwagen 3 über 3,5t;2;1;0;10;333;0;73;38;46;3;0;0;7;513
Sattelzugmaschine;6;1;0;12;792;4;182;89;140;4;0;0;11;1241
übriges Güterkraftfahrzeug;1;0;0;0;32;0;5;2;11;1;1;0;0;53
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;2;65;0;6;3;8;0;0;0;2;86
Unfälle zwischen zwei Beteiligten insg.;27;3;2;232;8014;29;784;439;908;33;2;0;130;10603
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;7;0;0;1;0;0;0;0;3;11
Personenkraftwagen;1;0;0;13;1929;6;182;161;295;13;1;0;382;2983
Bus;0;0;0;0;15;0;1;1;0;0;0;0;0;17
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;3;108;0;20;7;18;1;0;0;10;167
Lastkraftwagen 3 über 3,5t;0;0;0;1;201;0;15;18;26;1;0;0;16;278
Sattelzugmaschine;1;0;0;0;494;3;53;21;66;2;0;0;23;663
übriges Güterkraftfahrzeug;0;0;0;0;15;0;0;3;2;0;0;0;1;21
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;43;1;5;2;5;0;0;0;4;60
Unfälle zwischen zwei Beteiligten insg.;2;0;0;17;2813;10;276;214;412;17;1;0;439;4201
