Unfälle mit Getöteten - Innerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Auf Autobahnen – Unfälle mit Personenschaden;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;218;6926;20;1059;768;0;9;15;4;166;31;5;9221
Mofa, Moped;0;0;2;0;1;0;0;0;0;0;0;0;0;3
Motorrad;0;19;127;1;14;7;0;0;0;0;9;0;0;177
Personenkraftwagen;0;166;5358;14;685;561;0;6;12;3;135;25;5;6970
Kraftomnibus, Obus;0;1;23;0;5;3;0;0;0;0;0;0;0;32
Liefer- und Lastkraftw.;0;16;686;1;152;84;0;1;0;0;5;3;0;948
Sattelschlepper;0;13;613;3;175;98;0;1;1;0;7;3;0;914
Landwirt. Zugmaschine;0;0;1;0;0;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;6;0;4;2;0;0;0;0;0;0;0;12
LKW mit Spezialaufbau;0;0;20;0;3;4;0;1;1;0;0;0;0;29
Fahrrad;0;0;3;0;0;0;0;0;0;1;0;0;0;4
anderes Fahrzeug;0;3;52;1;7;7;0;0;1;0;3;0;0;74
Fußgänger;0;0;32;0;12;2;0;0;0;0;5;0;0;51
sonstige Person;0;0;3;0;1;0;0;0;0;0;2;0;0;6
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;12;2774;13;581;444;2;7;10;0;485;2;1;4331
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;1;5;0;1;2;0;0;1;0;2;0;0;12
Personenkraftwagen;0;9;1948;12;403;327;1;6;7;0;416;1;1;3131
Kraftomnibus, Obus;0;0;15;0;2;0;1;0;0;0;0;0;0;18
Liefer- und Lastkraftw.;0;1;333;1;81;56;0;0;0;0;39;1;0;512
Sattelschlepper;0;1;428;0;86;55;0;1;1;0;27;0;0;599
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;7;0;1;1;0;0;0;0;0;0;0;9
LKW mit Spezialaufbau;0;0;13;0;2;1;0;0;0;0;0;0;0;16
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderes Fahrzeug;0;0;24;0;5;2;0;0;1;0;1;0;0;33
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sonstige Person;0;0;1;0;0;0;0;0;0;0;0;0;0;1
