Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
anderer Verkehrsteilnehmer;59;199;37;67;950;99;65;42;27;13;22;9;42;1631
Unfälle zwischen zwei Beteiligten insg.;8218;20807;3731;6166;157148;1612;7887;3611;2562;437;871;142;3623;216815
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;14;0;0;0;0;0;0;0;0;14
Fahrrad 4;0;0;0;0;26;0;1;1;0;0;0;0;0;28
Kraftrad mit Versicherungskennzeichen 1;0;0;1;0;144;1;16;2;2;1;1;0;18;186
Kraftrad mit amtlichem Kennzeichen 2;1;1;3;2;362;0;24;14;5;1;1;0;42;456
Personenkraftwagen;53;59;133;151;23506;103;939;488;271;69;76;9;1357;27214
Bus;0;0;1;1;336;4;8;3;1;1;0;0;4;359
Lastkraftwagen 3 bis einschließlich 3,5t;0;1;4;8;871;2;40;19;8;2;3;0;37;995
Lastkraftwagen 3 über 3,5t;0;1;2;1;499;1;26;9;10;1;1;0;4;555
Sattelzugmaschine;1;0;0;1;231;0;15;11;11;3;0;0;11;284
übriges Güterkraftfahrzeug;0;0;0;3;74;1;4;2;0;1;0;0;2;87
Landwirt. Zugmaschine;0;0;0;1;68;2;2;1;0;0;2;0;2;78
Straßenbahn;0;0;0;0;311;0;13;1;0;1;0;0;0;326
anderer Verkehrsteilnehmer;0;1;0;1;196;2;10;5;6;0;2;0;3;226
Unfälle zwischen zwei Beteiligten insg.;55;63;144;169;26638;116;1098;556;314;80;86;9;1480;30808
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;3;0;0;0;1;0;0;0;0;4
Fahrrad 4;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;19;0;1;0;0;0;1;0;0;21
Kraftrad mit amtlichem Kennzeichen 2;0;1;0;10;124;2;6;5;1;4;6;0;16;175
Personenkraftwagen;12;5;30;108;8910;36;470;430;457;38;104;0;672;11272
Bus;1;0;0;1;64;0;3;3;1;2;0;0;1;76
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;1;4;461;3;44;31;33;5;4;0;25;612
Lastkraftwagen 3 über 3,5t;0;0;0;0;529;3;43;27;38;2;3;0;25;670
Sattelzugmaschine;0;0;0;4;714;2;51;36;66;2;4;0;25;904
übriges Güterkraftfahrzeug;0;0;0;1;60;1;2;3;6;2;2;0;3;80
Landwirt. Zugmaschine;0;0;1;1;140;0;5;6;2;0;1;0;0;156
Straßenbahn;0;0;0;0;3;0;0;0;0;0;0;0;0;3
anderer Verkehrsteilnehmer;0;0;0;1;120;0;12;2;4;0;1;0;1;141
Unfälle zwischen zwei Beteiligten insg.;14;6;32;130;11148;47;637;543;609;55;126;0;768;14115
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;17;0;0;0;1;0;0;0;0;18
Fahrrad 4;0;0;0;0;27;0;1;1;0;0;0;0;0;29
Kraftrad mit Versicherungskennzeichen 1;0;0;1;0;163;1;17;2;2;1;2;0;18;207
Kraftrad mit amtlichem Kennzeichen 2;1;2;3;12;486;2;30;19;6;5;7;0;58;631
Personenkraftwagen;65;64;163;259;32416;139;1409;918;728;107;180;9;2029;38486
Bus;1;0;1;2;400;4;11;6;2;3;0;0;5;435
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;5;12;1332;5;84;50;41;7;7;0;62;1607
Lastkraftwagen 3 über 3,5t;0;1;2;1;1028;4;69;36;48;3;4;0;29;1225
Sattelzugmaschine;1;0;0;5;945;2;66;47;77;5;4;0;36;1188
übriges Güterkraftfahrzeug;0;0;0;4;134;2;6;5;6;3;2;0;5;167
Landwirt. Zugmaschine;0;0;1;2;208;2;7;7;2;0;3;0;2;234
Straßenbahn;0;0;0;0;314;0;13;1;0;1;0;0;0;329
anderer Verkehrsteilnehmer;0;1;0;2;316;2;22;7;10;0;3;0;4;367
Unfälle zwischen zwei Beteiligten insg.;69;69;176;299;37786;163;1735;1099;923;135;212;9;2248;44923
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;6;0;1;1;0;0;0;0;0;8
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;5;0;1;0;0;0;0;0;0;6
Personenkraftwagen;10;0;0;8;39;1;1;0;4;0;1;0;1;65
Bus;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;0;0;3;0;0;1;2;0;0;0;0;8
Lastkraftwagen 3 über 3,5t;1;0;0;0;14;0;2;1;5;0;0;0;0;23
Sattelzugmaschine;2;0;0;3;38;0;10;5;11;1;0;0;0;70
übriges Güterkraftfahrzeug;1;0;0;0;3;0;1;1;0;0;0;0;0;6
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;16;0;0;11;111;1;17;9;22;1;1;0;1;190
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;34;0;6;2;4;0;0;0;2;49
Fahrrad 4;0;1;0;0;4;0;1;0;0;0;0;0;0;6
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;19;138;0;7;4;6;1;0;0;11;186
Personenkraftwagen;22;0;1;196;6053;28;384;271;584;19;1;0;113;7672
Bus;0;0;0;0;29;0;3;1;1;0;0;0;0;34
Lastkraftwagen 3 bis einschließlich 3,5t;4;0;0;10;245;1;38;21;30;2;0;0;8;359
Lastkraftwagen 3 über 3,5t;2;0;0;12;376;2;59;65;72;5;0;0;4;597
Sattelzugmaschine;6;0;0;18;714;1;125;83;147;5;1;0;5;1105
übriges Güterkraftfahrzeug;1;0;0;0;43;1;2;4;7;1;0;0;0;59
Landwirt. Zugmaschine;0;0;0;0;3;0;0;1;0;0;0;0;0;4
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;1;1;0;0;64;3;9;7;11;0;0;0;3;99
Unfälle zwischen zwei Beteiligten insg.;36;2;1;256;7704;36;634;459;862;33;2;0;146;10171
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;7;0;1;0;0;1;0;0;1;10
Personenkraftwagen;1;0;0;12;1777;10;133;185;305;12;0;0;356;2791
Bus;1;0;0;0;8;0;1;1;0;0;0;0;0;11
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;102;1;15;15;24;1;0;0;10;169
Lastkraftwagen 3 über 3,5t;0;0;0;0;214;1;18;13;29;0;0;0;12;287
Sattelzugmaschine;0;0;0;1;445;1;37;26;48;2;0;0;20;580
übriges Güterkraftfahrzeug;0;0;0;1;11;0;1;2;4;1;0;0;2;22
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;43;0;6;0;3;0;0;0;1;53
Unfälle zwischen zwei Beteiligten insg.;3;0;0;14;2608;13;212;242;414;17;0;0;402;3925
