Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fahrrad;0;0;0;0;24;0;2;1;0;0;0;1;0;28
Mofa, Moped;2;0;5;2;189;2;29;4;0;1;0;20;1;255
Motorrad;0;5;2;7;356;4;51;5;0;0;0;22;0;452
Personenkraftwagen;47;66;193;137;29925;162;2089;257;88;29;66;1150;47;34256
Kraftomnibus, Obus;0;1;0;1;394;1;31;2;2;0;0;3;1;436
Liefer- und Lastkraftw.;1;3;5;12;2123;9;205;23;7;1;8;60;2;2459
Sattelschlepper;0;1;0;1;296;1;26;8;1;1;0;6;0;341
Landwirt. Zugmaschine;0;0;0;0;73;0;8;1;1;0;0;0;0;83
andere Zugmaschine;0;0;0;0;29;1;1;1;0;0;0;0;0;32
LKW mit Spezialaufbau;0;0;0;1;84;0;7;2;1;1;0;3;0;99
anderes Fahrzeug;0;2;1;1;608;1;33;9;1;1;1;10;0;668
sonstige Person;0;0;1;0;19;0;1;0;0;0;0;0;0;21
Unfälle zwischen zwei Beteiligten insg.;50;78;207;162;34132;181;2483;313;101;34;75;1275;51;39142
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Mofa, Moped;0;0;0;2;28;1;3;0;2;0;0;1;0;37
Motorrad;0;1;0;5;127;1;10;4;5;0;1;12;0;166
Personenkraftwagen;13;9;41;104;11657;64;1459;585;115;40;45;797;19;14948
Kraftomnibus, Obus;0;0;0;2;106;0;14;1;1;1;0;1;0;126
Liefer- und Lastkraftw.;2;0;2;9;1463;7;248;97;18;1;5;80;1;1933
Sattelschlepper;0;0;0;0;869;1;154;105;3;1;4;30;2;1169
Landwirt. Zugmaschine;0;0;0;2;111;0;13;5;2;1;1;1;0;136
andere Zugmaschine;0;0;0;2;42;0;3;1;0;1;0;2;0;51
LKW mit Spezialaufbau;0;0;0;1;54;0;13;10;1;2;1;4;0;86
anderes Fahrzeug;0;0;0;1;129;2;19;8;2;0;3;7;0;171
sonstige Person;0;0;0;0;10;0;0;0;1;0;0;0;0;11
Unfälle zwischen zwei Beteiligten insg.;15;10;43;128;14597;76;1936;816;150;47;60;935;22;18835
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;12;0;0;0;0;0;0;0;0;12
Fahrrad;0;0;0;0;25;0;2;1;0;0;0;1;0;29
Mofa, Moped;2;0;5;4;217;3;32;4;2;1;0;21;1;292
Motorrad;0;6;2;12;483;5;61;9;5;0;1;34;0;618
Personenkraftwagen;60;75;234;241;41582;226;3548;842;203;69;111;1947;66;49204
Kraftomnibus, Obus;0;1;0;3;500;1;45;3;3;1;0;4;1;562
Liefer- und Lastkraftw.;3;3;7;21;3586;16;453;120;25;2;13;140;3;4392
Sattelschlepper;0;1;0;1;1165;2;180;113;4;2;4;36;2;1510
Landwirt. Zugmaschine;0;0;0;2;184;0;21;6;3;1;1;1;0;219
andere Zugmaschine;0;0;0;2;71;1;4;2;0;1;0;2;0;83
LKW mit Spezialaufbau;0;0;0;2;138;0;20;12;2;3;1;7;0;185
anderes Fahrzeug;0;2;1;2;737;3;52;17;3;1;4;17;0;839
sonstige Person;0;0;1;0;29;0;1;0;1;0;0;0;0;32
Unfälle zwischen zwei Beteiligten insg.;65;88;250;290;48729;257;4419;1129;251;81;135;2210;73;57977
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;1;0;0;1;0;0;0;1;0;3
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;0;3;0;1;0;0;0;0;0;0;4
Personenkraftwagen;4;0;0;0;36;0;9;6;0;0;0;1;0;56
Kraftomnibus, Obus;1;0;0;0;1;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;3;0;0;2;12;2;11;3;0;0;0;0;0;33
Sattelschlepper;2;0;0;2;26;1;10;2;0;0;0;1;0;44
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
LKW mit Spezialaufbau;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderes Fahrzeug;0;0;0;0;2;0;0;0;0;0;0;0;0;2
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;10;0;0;4;83;3;31;12;0;0;0;3;0;146
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;33;2;5;4;0;0;0;4;0;48
Fahrrad;0;5;0;0;5;0;0;0;0;0;0;0;0;10
Mofa, Moped;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Motorrad;1;0;0;12;153;1;13;7;0;0;0;10;1;198
Personenkraftwagen;16;0;1;131;5065;13;722;532;0;10;10;132;4;6636
Kraftomnibus, Obus;1;0;0;0;25;0;5;3;0;0;0;0;0;34
Liefer- und Lastkraftw.;5;0;0;25;613;3;198;92;1;2;1;12;0;952
Sattelschlepper;5;0;0;8;594;3;171;116;0;2;4;13;0;916
Landwirt. Zugmaschine;0;0;0;0;1;0;1;0;0;0;0;0;0;2
andere Zugmaschine;0;0;0;0;10;0;1;3;0;0;0;0;0;14
LKW mit Spezialaufbau;0;0;0;0;23;0;4;4;0;0;2;0;0;33
anderes Fahrzeug;0;0;0;0;50;0;7;8;0;0;0;1;0;66
sonstige Person;0;0;0;0;4;0;0;0;0;0;0;0;0;4
Unfälle zwischen zwei Beteiligten insg.;28;5;1;176;6577;22;1127;769;1;14;17;172;5;8914
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;2;4;0;1;2;0;0;0;1;0;10
Personenkraftwagen;2;0;0;15;2512;25;566;390;1;11;12;459;2;3995
Kraftomnibus, Obus;0;0;0;0;17;0;4;1;0;0;0;1;0;23
Liefer- und Lastkraftw.;2;0;0;1;476;2;110;74;0;0;1;50;1;717
Sattelschlepper;0;0;0;0;548;0;113;85;0;1;3;22;0;772
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;8;0;1;1;0;0;0;1;0;11
LKW mit Spezialaufbau;0;0;0;0;13;0;4;7;0;1;0;0;0;25
anderes Fahrzeug;0;0;0;0;32;0;7;5;0;0;2;2;0;48
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;4;0;0;18;3612;27;806;565;1;13;18;536;3;5603
