Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fahrrad;1568;5069;323;239;34214;291;2595;221;102;19;53;703;453;45850
Mofa, Moped;191;229;131;77;7273;49;569;55;40;6;20;183;39;8862
Motorrad;246;419;102;463;11190;68;797;89;153;17;14;321;92;13971
Personenkraftwagen;5780;11407;3654;4346;75465;534;6497;1507;434;96;170;1077;111;111078
Kraftomnibus, Obus;380;260;51;60;1835;23;189;20;4;0;5;90;43;2960
Liefer- und Lastkraftw.;260;632;265;331;4466;54;725;185;38;12;20;90;7;7085
Sattelschlepper;32;69;28;62;1297;11;283;180;4;3;9;23;0;2001
Landwirt. Zugmaschine;5;29;34;73;378;1;24;5;8;1;0;7;1;566
andere Zugmaschine;3;9;3;11;85;0;8;1;0;2;0;3;1;126
LKW mit Spezialaufbau;10;16;13;6;162;3;25;8;3;2;8;5;0;261
anderes Fahrzeug;389;291;57;59;1436;15;149;28;9;0;4;69;13;2519
sonstige Person;0;78;19;23;252;63;41;2;14;0;1;27;1;521
Unfälle zwischen zwei Beteiligten insg.;8864;20797;4917;5926;154433;1517;13203;2375;850;173;349;3318;761;217483
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;9;0;1;0;0;0;0;0;0;10
Fahrrad;0;0;0;1;25;0;0;0;0;0;0;0;0;26
Mofa, Moped;0;1;2;3;201;6;25;2;0;1;0;18;0;259
Motorrad;0;3;2;2;394;6;53;3;0;0;1;23;0;487
Personenkraftwagen;66;82;210;171;28250;134;1874;272;88;20;52;1129;58;32406
Kraftomnibus, Obus;0;0;2;2;329;0;21;3;1;0;0;3;0;361
Liefer- und Lastkraftw.;1;5;10;10;1973;10;174;20;7;1;5;36;3;2255
Sattelschlepper;0;0;1;1;251;0;26;7;1;1;1;6;0;295
Landwirt. Zugmaschine;0;0;0;2;70;0;9;1;0;0;1;0;0;83
andere Zugmaschine;0;0;0;0;22;0;3;0;0;0;0;1;0;26
LKW mit Spezialaufbau;0;0;0;0;60;0;6;2;0;0;0;1;0;69
anderes Fahrzeug;0;0;2;0;588;0;30;3;0;0;2;9;0;634
sonstige Person;0;0;0;0;22;0;0;1;0;0;0;0;0;23
Unfälle zwischen zwei Beteiligten insg.;67;91;229;192;32194;156;2222;314;97;23;62;1226;61;36934
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Fahrrad;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Mofa, Moped;0;0;0;0;23;0;4;2;0;0;0;0;0;29
Motorrad;0;1;1;6;140;3;15;3;3;0;0;13;0;185
Personenkraftwagen;21;14;41;120;10599;42;1203;421;126;28;37;789;15;13456
Kraftomnibus, Obus;0;0;0;4;89;1;13;1;2;1;0;2;0;113
Liefer- und Lastkraftw.;3;2;1;6;1219;2;195;72;16;1;6;60;2;1585
Sattelschlepper;0;0;0;5;670;1;94;65;4;1;2;30;0;872
Landwirt. Zugmaschine;0;0;0;2;135;0;13;3;2;0;0;2;0;157
andere Zugmaschine;0;0;0;0;23;0;7;1;0;0;0;0;0;31
LKW mit Spezialaufbau;0;0;0;2;60;0;5;2;0;0;1;1;0;71
anderes Fahrzeug;0;0;0;1;130;0;12;2;3;0;1;7;0;156
sonstige Person;0;0;0;0;10;0;1;0;0;0;0;0;0;11
Unfälle zwischen zwei Beteiligten insg.;24;17;43;146;13103;49;1562;572;156;31;47;904;17;16671
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;12;0;1;0;0;0;0;0;0;13
Fahrrad;0;0;0;1;27;0;0;0;0;0;0;0;0;28
Mofa, Moped;0;1;2;3;224;6;29;4;0;1;0;18;0;288
Motorrad;0;4;3;8;534;9;68;6;3;0;1;36;0;672
Personenkraftwagen;87;96;251;291;38849;176;3077;693;214;48;89;1918;73;45862
Kraftomnibus, Obus;0;0;2;6;418;1;34;4;3;1;0;5;0;474
Liefer- und Lastkraftw.;4;7;11;16;3192;12;369;92;23;2;11;96;5;3840
Sattelschlepper;0;0;1;6;921;1;120;72;5;2;3;36;0;1167
Landwirt. Zugmaschine;0;0;0;4;205;0;22;4;2;0;1;2;0;240
andere Zugmaschine;0;0;0;0;45;0;10;1;0;0;0;1;0;57
LKW mit Spezialaufbau;0;0;0;2;120;0;11;4;0;0;1;2;0;140
anderes Fahrzeug;0;0;2;1;718;0;42;5;3;0;3;16;0;790
sonstige Person;0;0;0;0;32;0;1;1;0;0;0;0;0;34
Unfälle zwischen zwei Beteiligten insg.;91;108;272;338;45297;205;3784;886;253;54;109;2130;78;53605
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;1;2;0;0;0;0;0;0;6
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;1;5;0;1;0;0;0;0;1;0;8
Personenkraftwagen;5;1;0;1;48;0;10;8;0;0;0;0;0;73
Kraftomnibus, Obus;0;0;0;1;1;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;4;0;0;3;15;0;8;0;0;0;0;0;0;30
Sattelschlepper;4;0;0;1;28;0;15;5;0;0;0;0;0;53
Landwirt. Zugmaschine;0;0;0;0;0;0;1;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;0;0;1;0;0;0;0;0;0;0;1
anderes Fahrzeug;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;13;1;0;7;100;2;37;13;0;0;0;1;0;174
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;28;1;10;4;1;0;0;2;0;46
Fahrrad;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;11;131;0;8;5;0;0;0;13;2;170
Personenkraftwagen;27;2;0;154;5152;14;722;542;0;6;11;116;4;6750
Kraftomnibus, Obus;0;0;0;1;27;2;7;3;0;0;0;2;1;43
Liefer- und Lastkraftw.;8;0;0;20;643;6;196;105;0;2;4;11;0;995
Sattelschlepper;8;0;0;14;569;1;170;128;0;1;3;10;0;904
Landwirt. Zugmaschine;0;0;0;0;4;0;1;0;0;0;0;0;0;5
andere Zugmaschine;0;0;0;0;6;0;3;0;0;1;0;1;0;11
LKW mit Spezialaufbau;0;0;0;0;17;1;7;4;0;0;0;0;0;29
anderes Fahrzeug;3;0;0;0;48;0;9;4;0;0;0;2;0;66
sonstige Person;0;0;0;0;5;0;2;0;0;0;0;0;0;7
Unfälle zwischen zwei Beteiligten insg.;46;2;0;200;6633;25;1135;795;1;10;18;157;7;9029
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;2;8;0;4;0;0;0;0;2;0;16
Personenkraftwagen;4;0;0;8;2081;9;395;274;0;5;8;413;4;3201
Kraftomnibus, Obus;0;0;0;1;10;0;3;0;0;0;0;1;0;15
Liefer- und Lastkraftw.;0;0;0;0;355;0;78;46;0;0;2;35;1;517
Sattelschlepper;0;0;0;1;390;1;61;47;0;1;1;21;0;523
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;2;0;3;0;0;0;0;0;0;5
LKW mit Spezialaufbau;0;0;0;0;20;0;1;1;0;0;0;0;0;22
anderes Fahrzeug;0;0;0;0;28;0;4;1;0;0;0;4;0;37
sonstige Person;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;4;0;0;12;2896;10;549;369;0;6;11;476;5;4338
