Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Personenkraftwagen;43;37;9;83;269;0;15;13;9;1;4;0;3;486
Bus;1;0;0;2;8;0;0;0;0;0;0;0;0;11
Lastkraftwagen 3 bis einschließlich 3,5t;6;4;0;5;12;0;2;0;2;1;0;0;0;32
Lastkraftwagen 3 über 3,5t;1;0;0;8;53;1;12;1;1;0;0;0;0;77
Sattelzugmaschine;0;0;1;3;79;0;25;9;12;0;0;0;1;130
übriges Güterkraftfahrzeug;0;1;0;1;10;0;0;0;0;0;0;0;0;12
Landwirt. Zugmaschine;1;1;0;8;3;0;1;0;0;0;0;0;0;14
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;1;6;0;2;8;0;0;1;1;0;1;0;0;20
Unfälle zwischen zwei Beteiligten insg.;54;53;12;122;619;1;63;28;35;4;28;0;8;1027
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;0;2;180;8;21;24;13;10;6;2;5;273
Fahrrad 4;5;9;1;1;55;2;6;35;18;6;3;2;0;143
Kraftrad mit Versicherungskennzeichen 1;0;1;1;1;14;0;0;1;1;0;0;0;1;20
Kraftrad mit amtlichem Kennzeichen 2;3;6;2;8;130;0;10;2;4;0;18;0;2;185
Personenkraftwagen;91;82;16;97;301;0;17;14;9;2;5;1;9;644
Bus;5;2;0;3;12;0;0;0;0;0;0;0;0;22
Lastkraftwagen 3 bis einschließlich 3,5t;9;6;1;7;18;0;2;0;2;1;0;0;0;46
Lastkraftwagen 3 über 3,5t;5;2;2;9;59;1;12;1;1;1;0;0;0;93
Sattelzugmaschine;2;2;1;5;82;0;25;9;12;0;0;0;1;139
übriges Güterkraftfahrzeug;1;1;1;2;13;0;0;0;0;0;0;0;0;18
Landwirt. Zugmaschine;1;2;0;9;3;0;1;0;0;0;0;0;0;16
Straßenbahn;16;3;0;0;1;0;1;0;0;0;0;0;0;21
anderer Verkehrsteilnehmer;10;13;1;3;18;0;0;2;2;0;1;0;0;50
Unfälle zwischen zwei Beteiligten insg.;148;131;26;147;886;11;95;88;62;20;33;5;18;1670
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2185;163;139;15717;433;782;231;79;42;40;62;514;20387
Fahrrad 4;1489;4661;215;170;32699;284;1467;524;227;64;53;6;1071;42930
Kraftrad mit Versicherungskennzeichen 1;122;166;52;35;4650;39;246;84;37;10;12;0;164;5617
Kraftrad mit amtlichem Kennzeichen 2;179;292;32;204;7091;54;289;87;34;15;42;3;165;8487
Personenkraftwagen;5124;10618;2176;2682;50471;473;2244;1090;659;145;151;57;515;76405
Bus;340;276;33;37;1660;32;75;35;10;5;2;1;126;2632
Lastkraftwagen 3 bis einschließlich 3,5t;146;344;76;93;1213;12;84;38;21;6;7;1;20;2061
Lastkraftwagen 3 über 3,5t;46;127;25;29;633;17;28;42;13;4;6;0;8;978
Sattelzugmaschine;18;42;15;18;321;6;9;19;13;1;3;0;4;469
übriges Güterkraftfahrzeug;9;20;4;5;114;4;8;3;3;7;0;0;4;181
Landwirt. Zugmaschine;3;23;6;16;117;4;5;2;2;1;1;0;2;182
Straßenbahn;326;168;3;9;653;7;29;16;6;3;0;5;20;1245
anderer Verkehrsteilnehmer;71;170;32;27;663;113;31;27;11;6;15;13;34;1213
Unfälle zwischen zwei Beteiligten insg.;7873;19092;2832;3464;116002;1478;5297;2198;1115;309;332;148;2647;162787
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;131;15;17;595;8;51;9;13;5;12;0;31;887
Fahrrad 4;76;711;47;60;2055;7;102;38;27;5;53;0;169;3350
Kraftrad mit Versicherungskennzeichen 1;10;22;19;20;654;11;32;29;17;3;13;0;45;875
Kraftrad mit amtlichem Kennzeichen 2;14;74;20;310;2639;17;129;75;46;8;114;0;152;3598
Personenkraftwagen;263;781;269;1756;29094;119;1539;853;1101;99;281;0;475;36630
Bus;4;5;4;13;194;4;9;15;7;0;2;0;7;264
Lastkraftwagen 3 bis einschließlich 3,5t;18;35;15;89;1023;8;104;42;49;5;10;0;14;1412
Lastkraftwagen 3 über 3,5t;6;18;9;56;885;5;117;118;97;6;8;0;17;1342
Sattelzugmaschine;5;11;9;29;1217;10;212;114;182;8;1;0;19;1817
übriges Güterkraftfahrzeug;1;4;0;3;132;1;13;15;12;5;2;0;3;191
Landwirt. Zugmaschine;2;16;9;65;277;0;19;5;5;2;6;0;4;410
Straßenbahn;2;4;0;0;6;0;1;1;0;0;0;0;0;14
anderer Verkehrsteilnehmer;2;27;8;26;286;6;20;10;11;5;10;0;9;420
Unfälle zwischen zwei Beteiligten insg.;403;1839;424;2444;39057;196;2348;1324;1567;151;512;0;945;51210
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2316;178;156;16312;441;833;240;92;47;52;62;545;21274
Fahrrad 4;1565;5372;262;230;34754;291;1569;562;254;69;106;6;1240;46280
Kraftrad mit Versicherungskennzeichen 1;132;188;71;55;5304;50;278;113;54;13;25;0;209;6492
Kraftrad mit amtlichem Kennzeichen 2;193;366;52;514;9730;71;418;162;80;23;156;3;317;12085
Personenkraftwagen;5387;11399;2445;4438;79565;592;3783;1943;1760;244;432;57;990;113035
Bus;344;281;37;50;1854;36;84;50;17;5;4;1;133;2896
Lastkraftwagen 3 bis einschließlich 3,5t;164;379;91;182;2236;20;188;80;70;11;17;1;34;3473
Lastkraftwagen 3 über 3,5t;52;145;34;85;1518;22;145;160;110;10;14;0;25;2320
Sattelzugmaschine;23;53;24;47;1538;16;221;133;195;9;4;0;23;2286
übriges Güterkraftfahrzeug;10;24;4;8;246;5;21;18;15;12;2;0;7;372
Landwirt. Zugmaschine;5;39;15;81;394;4;24;7;7;3;7;0;6;592
Straßenbahn;328;172;3;9;659;7;30;17;6;3;0;5;20;1259
anderer Verkehrsteilnehmer;73;197;40;53;949;119;51;37;22;11;25;13;43;1633
Unfälle zwischen zwei Beteiligten insg.;8276;20931;3256;5908;155059;1674;7645;3522;2682;460;844;148;3592;213997
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;14;0;0;0;0;0;0;0;0;14
Fahrrad 4;0;0;0;0;28;0;1;0;0;1;0;0;0;30
Kraftrad mit Versicherungskennzeichen 1;0;1;0;1;155;1;17;4;0;1;1;0;16;197
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;0;335;3;27;6;4;0;1;0;34;411
Personenkraftwagen;44;72;127;144;25055;127;982;474;286;78;95;16;1546;29046
Bus;0;0;0;2;349;2;7;4;2;2;2;0;7;377
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;3;1;848;4;52;24;5;3;6;0;36;982
Lastkraftwagen 3 über 3,5t;0;1;1;1;495;1;19;12;12;3;2;0;10;557
Sattelzugmaschine;0;0;1;1;248;0;12;9;10;1;1;0;6;289
übriges Güterkraftfahrzeug;0;0;0;1;64;0;7;1;1;2;1;0;1;78
Landwirt. Zugmaschine;0;0;0;1;87;0;0;1;1;0;1;0;3;94
Straßenbahn;0;0;0;0;310;0;14;3;1;1;0;0;1;330
anderer Verkehrsteilnehmer;0;0;1;1;214;1;8;5;1;0;0;0;9;240
Unfälle zwischen zwei Beteiligten insg.;45;74;133;153;28202;139;1146;543;323;92;110;16;1669;32645
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;14;0;0;2;2;0;0;0;0;18
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;13;118;1;11;4;5;0;4;0;15;171
Personenkraftwagen;5;9;22;108;9731;38;500;445;541;48;101;0;732;12280
Bus;0;0;0;1;74;0;7;1;2;0;2;0;2;89
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;1;2;510;4;50;25;33;1;4;0;29;659
Lastkraftwagen 3 über 3,5t;0;0;0;1;603;0;43;34;37;3;2;0;27;750
Sattelzugmaschine;0;0;0;2;811;2;62;39;79;4;2;0;36;1037
übriges Güterkraftfahrzeug;0;0;0;0;78;1;8;2;9;0;0;0;6;104
Landwirt. Zugmaschine;0;0;0;0;115;1;8;1;1;0;3;0;1;130
Straßenbahn;0;0;0;0;4;0;1;0;0;0;0;0;0;5
anderer Verkehrsteilnehmer;0;0;0;3;118;1;7;6;6;0;1;0;3;145
Unfälle zwischen zwei Beteiligten insg.;5;9;24;130;12177;48;697;559;715;56;119;0;851;15390
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;15;0;0;0;0;0;0;0;0;15
Fahrrad 4;0;0;1;0;28;0;1;0;0;1;0;0;0;31
Kraftrad mit Versicherungskennzeichen 1;0;1;0;1;169;1;17;6;2;1;1;0;16;215
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;13;453;4;38;10;9;0;5;0;49;582
Personenkraftwagen;49;81;149;252;34786;165;1482;919;827;126;196;16;2278;41326
Bus;0;0;0;3;423;2;14;5;4;2;4;0;9;466
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;4;3;1358;8;102;49;38;4;10;0;65;1641
Lastkraftwagen 3 über 3,5t;0;1;1;2;1098;1;62;46;49;6;4;0;37;1307
Sattelzugmaschine;0;0;1;3;1059;2;74;48;89;5;3;0;42;1326
übriges Güterkraftfahrzeug;0;0;0;1;142;1;15;3;10;2;1;0;7;182
Landwirt. Zugmaschine;0;0;0;1;202;1;8;2;2;0;4;0;4;224
Straßenbahn;0;0;0;0;314;0;15;3;1;1;0;0;1;335
anderer Verkehrsteilnehmer;0;0;1;4;332;2;15;11;7;0;1;0;12;385
Unfälle zwischen zwei Beteiligten insg.;50;83;157;283;40379;187;1843;1102;1038;148;229;16;2520;48035
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;1;0;2;0;0;0;0;4
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;1;6;0;0;0;1;0;0;0;0;9
Personenkraftwagen;8;0;0;2;32;0;5;3;6;0;0;0;0;56
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;0;1;3;0;1;0;2;1;0;0;0;10
Lastkraftwagen 3 über 3,5t;1;0;0;1;9;1;11;1;1;0;0;0;0;25
Sattelzugmaschine;0;0;0;0;26;0;22;8;11;0;0;0;1;68
übriges Güterkraftfahrzeug;0;0;0;1;2;0;0;0;0;0;0;0;0;3
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;2;0;0;0;1;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;12;0;0;6;81;1;40;12;24;1;0;0;1;178
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;2;34;1;10;2;5;1;0;0;0;55
Fahrrad 4;0;1;0;0;5;0;0;0;0;0;0;0;0;6
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;15;121;0;14;9;12;1;0;0;7;180
Personenkraftwagen;18;2;1;164;6510;23;477;277;628;18;2;0;130;8250
Bus;0;0;0;0;34;1;3;4;3;0;0;0;4;49
Lastkraftwagen 3 bis einschließlich 3,5t;3;0;0;11;303;1;53;14;35;2;0;0;4;426
Lastkraftwagen 3 über 3,5t;2;0;0;8;369;1;77;52;69;1;0;0;4;583
Sattelzugmaschine;2;0;0;9;758;7;176;86;158;4;0;0;10;1210
übriges Güterkraftfahrzeug;0;0;0;1;39;0;2;10;9;1;0;0;0;62
Landwirt. Zugmaschine;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;58;0;11;5;8;2;0;0;1;86
Unfälle zwischen zwei Beteiligten insg.;26;3;1;211;8233;34;823;459;927;30;2;0;160;10909
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;8;0;1;1;1;0;0;0;4;15
Personenkraftwagen;0;0;0;11;2079;12;154;191;341;9;1;0;377;3175
Bus;0;0;0;0;9;0;4;0;0;0;0;0;1;14
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;151;1;20;12;24;0;1;0;16;225
Lastkraftwagen 3 über 3,5t;0;0;0;0;237;0;30;20;22;1;0;0;16;326
Sattelzugmaschine;0;0;0;2;565;1;52;29;67;3;0;0;25;744
übriges Güterkraftfahrzeug;0;0;0;0;24;0;3;1;4;0;0;0;4;36
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;36;1;2;4;4;0;0;0;3;51
Unfälle zwischen zwei Beteiligten insg.;0;0;0;14;3109;15;266;258;463;13;2;0;446;4586
