Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Liefer- und Lastkraftw.;23;65;29;119;2090;17;345;136;18;4;11;33;1;2891
Sattelschlepper;7;13;7;40;1036;4;236;126;10;1;5;17;1;1503
Landwirt. Zugmaschine;4;10;4;46;280;2;22;5;5;0;0;2;2;382
andere Zugmaschine;0;1;2;4;33;0;8;2;1;1;0;0;1;53
LKW mit Spezialaufbau;0;1;3;4;90;0;10;5;0;1;3;2;0;119
anderes Fahrzeug;10;11;3;27;232;2;21;14;5;1;1;11;2;340
sonstige Person;0;14;4;7;47;2;9;0;8;0;0;4;0;95
Unfälle zwischen zwei Beteiligten insg.;446;1700;503;2191;36620;194;3665;1380;512;57;96;786;151;48301
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2159;166;143;16642;422;1223;84;49;14;38;672;2;21614
Fahrrad;1471;4754;278;242;31874;254;2270;226;82;13;59;696;375;42594
Mofa, Moped;135;188;116;70;6023;48;426;45;41;2;8;186;40;7328
Motorrad;212;335;94;511;9456;71;619;94;132;12;11;273;55;11875
Personenkraftwagen;5283;10448;2884;3942;76064;518;6049;1553;433;61;151;969;75;108430
Kraftomnibus, Obus;349;246;54;50;1760;43;152;26;11;3;4;91;47;2836
Liefer- und Lastkraftw.;275;567;170;263;4173;42;566;160;30;7;18;70;3;6344
Sattelschlepper;36;63;23;67;1303;11;262;147;11;1;5;23;2;1954
Landwirt. Zugmaschine;11;29;11;53;362;2;27;6;8;0;0;2;2;513
andere Zugmaschine;0;7;6;6;63;4;10;2;1;4;0;0;1;104
LKW mit Spezialaufbau;2;17;7;7;158;1;22;8;0;1;6;2;2;233
anderes Fahrzeug;407;246;34;58;1259;16;125;26;9;1;4;68;14;2267
sonstige Person;0;58;12;16;228;61;32;0;16;0;6;26;0;455
Unfälle zwischen zwei Beteiligten insg.;8181;19117;3855;5428;149365;1493;11783;2377;823;119;310;3078;618;206547
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;1;0;1;0;0;0;0;0;0;0;0;2
Fahrrad;0;0;1;1;23;0;1;0;0;0;0;0;0;26
Mofa, Moped;1;1;2;0;196;1;17;1;0;0;0;22;0;241
Motorrad;1;1;1;4;344;2;53;4;2;1;1;30;1;445
Personenkraftwagen;53;66;148;136;27997;138;1771;287;87;13;62;1376;36;32170
Kraftomnibus, Obus;0;0;2;2;343;1;23;0;1;0;0;2;0;374
Liefer- und Lastkraftw.;0;2;7;10;1764;7;143;22;5;3;2;51;2;2018
Sattelschlepper;0;0;0;0;253;0;27;11;1;0;0;2;0;294
Landwirt. Zugmaschine;0;0;0;0;92;0;8;1;1;0;0;2;0;104
andere Zugmaschine;0;0;0;0;19;0;2;1;0;0;0;1;0;23
LKW mit Spezialaufbau;0;0;0;0;82;0;2;0;0;0;1;1;1;87
anderes Fahrzeug;0;0;2;2;542;2;35;3;1;0;0;11;1;599
sonstige Person;0;0;0;0;17;0;1;1;1;0;0;0;0;20
Unfälle zwischen zwei Beteiligten insg.;55;70;164;155;31673;151;2083;331;99;17;66;1498;41;36403
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Fahrrad;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Mofa, Moped;0;0;0;2;21;0;0;1;2;0;0;1;0;27
Motorrad;0;1;0;6;106;0;15;5;2;0;3;8;0;146
Personenkraftwagen;8;7;24;92;10287;55;1123;483;142;16;28;772;15;13052
Kraftomnibus, Obus;0;0;0;1;103;0;10;1;1;1;0;3;0;120
Liefer- und Lastkraftw.;1;1;1;7;1192;6;173;82;15;4;6;63;0;1551
Sattelschlepper;0;0;0;4;684;1;116;73;5;1;3;38;1;926
Landwirt. Zugmaschine;0;0;1;1;131;1;14;3;3;1;1;3;0;159
andere Zugmaschine;0;0;0;0;20;0;1;2;0;1;0;0;0;24
LKW mit Spezialaufbau;0;0;0;0;46;1;10;2;1;0;0;0;0;60
anderes Fahrzeug;0;0;0;0;99;0;13;7;3;1;1;1;0;125
sonstige Person;0;0;0;0;16;0;0;0;0;0;0;0;0;16
Unfälle zwischen zwei Beteiligten insg.;9;9;26;113;12706;64;1476;659;174;25;42;889;16;16208
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;1;0;1;0;1;0;0;0;0;0;0;3
Fahrrad;0;0;1;1;24;0;1;0;0;0;0;0;0;27
Mofa, Moped;1;1;2;2;217;1;17;2;2;0;0;23;0;268
Motorrad;1;2;1;10;450;2;68;9;4;1;4;38;1;591
Personenkraftwagen;61;73;172;228;38284;193;2894;770;229;29;90;2148;51;45222
Kraftomnibus, Obus;0;0;2;3;446;1;33;1;2;1;0;5;0;494
Liefer- und Lastkraftw.;1;3;8;17;2956;13;316;104;20;7;8;114;2;3569
Sattelschlepper;0;0;0;4;937;1;143;84;6;1;3;40;1;1220
Landwirt. Zugmaschine;0;0;1;1;223;1;22;4;4;1;1;5;0;263
andere Zugmaschine;0;0;0;0;39;0;3;3;0;1;0;1;0;47
LKW mit Spezialaufbau;0;0;0;0;128;1;12;2;1;0;1;1;1;147
anderes Fahrzeug;0;0;2;2;641;2;48;10;4;1;1;12;1;724
sonstige Person;0;0;0;0;33;0;1;1;1;0;0;0;0;36
Unfälle zwischen zwei Beteiligten insg.;64;79;190;268;44379;215;3559;990;273;42;108;2387;57;52611
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;0;1;1;0;0;0;1;0;6
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Motorrad;0;0;0;2;6;0;4;0;0;0;0;0;0;12
Personenkraftwagen;6;1;0;4;38;0;5;2;0;0;0;1;0;57
Kraftomnibus, Obus;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;1;0;0;2;15;0;5;3;0;0;0;1;0;27
Sattelschlepper;0;0;0;3;29;0;10;3;0;0;0;0;0;45
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;0;1;0;1;0;0;0;0;0;0;2
anderes Fahrzeug;0;0;0;0;1;1;0;0;0;0;0;0;0;2
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Unfälle zwischen zwei Beteiligten insg.;7;1;0;11;95;1;27;9;0;0;0;3;0;154
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;32;0;12;2;0;0;0;5;0;51
Fahrrad;0;1;0;0;3;0;0;0;0;0;0;0;0;4
Mofa, Moped;0;0;0;0;2;0;1;0;0;0;0;0;0;3
Motorrad;0;0;0;19;127;1;14;7;0;0;0;9;0;177
Personenkraftwagen;25;3;0;166;5358;14;685;561;0;6;12;135;5;6970
Kraftomnibus, Obus;0;0;0;1;23;0;5;3;0;0;0;0;0;32
Liefer- und Lastkraftw.;3;0;0;16;686;1;152;84;0;1;0;5;0;948
Sattelschlepper;3;0;0;13;613;3;175;98;0;1;1;7;0;914
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;6;0;4;2;0;0;0;0;0;12
LKW mit Spezialaufbau;0;0;0;0;20;0;3;4;0;1;1;0;0;29
anderes Fahrzeug;0;0;0;3;52;1;7;7;0;0;1;3;0;74
sonstige Person;0;0;0;0;3;0;1;0;0;0;0;2;0;6
Unfälle zwischen zwei Beteiligten insg.;31;4;0;218;6926;20;1059;768;0;9;15;166;5;9221
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;1;5;0;1;2;0;0;1;2;0;12
Personenkraftwagen;1;0;0;9;1948;12;403;327;1;6;7;416;1;3131
Kraftomnibus, Obus;0;0;0;0;15;0;2;0;1;0;0;0;0;18
Liefer- und Lastkraftw.;1;0;0;1;333;1;81;56;0;0;0;39;0;512
Sattelschlepper;0;0;0;1;428;0;86;55;0;1;1;27;0;599
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;7;0;1;1;0;0;0;0;0;9
LKW mit Spezialaufbau;0;0;0;0;13;0;2;1;0;0;0;0;0;16
anderes Fahrzeug;0;0;0;0;24;0;5;2;0;0;1;1;0;33
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;2;0;0;12;2774;13;581;444;2;7;10;485;1;4331
