Unfälle mit Getöteten - Innerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Fahrrad;54;59;2032;21;207;28;51;8;2;664;67;112;80;3385
anderes Fahrzeug;3;20;276;0;35;11;6;0;1;15;12;12;2;393
Fußgänger;31;21;686;8;82;11;12;2;0;138;54;0;0;1045
sonstige Person;7;9;62;3;6;0;6;0;0;10;3;0;0;106
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;4917;5926;154433;1517;13203;2375;850;173;349;20797;3318;8864;761;217483
Mofa, Moped;131;77;7273;49;569;55;40;6;20;229;183;191;39;8862
Motorrad;102;463;11190;68;797;89;153;17;14;419;321;246;92;13971
Personenkraftwagen;3654;4346;75465;534;6497;1507;434;96;170;11407;1077;5780;111;111078
Kraftomnibus, Obus;51;60;1835;23;189;20;4;0;5;260;90;380;43;2960
Liefer- und Lastkraftw.;265;331;4466;54;725;185;38;12;20;632;90;260;7;7085
Sattelschlepper;28;62;1297;11;283;180;4;3;9;69;23;32;0;2001
Landwirt. Zugmaschine;34;73;378;1;24;5;8;1;0;29;7;5;1;566
andere Zugmaschine;3;11;85;0;8;1;0;2;0;9;3;3;1;126
LKW mit Spezialaufbau;13;6;162;3;25;8;3;2;8;16;5;10;0;261
Fahrrad;323;239;34214;291;2595;221;102;19;53;5069;703;1568;453;45850
anderes Fahrzeug;57;59;1436;15;149;28;9;0;4;291;69;389;13;2519
Fußgänger;237;176;16380;405;1301;74;41;15;45;2289;720;0;0;21683
sonstige Person;19;23;252;63;41;2;14;0;1;78;27;0;1;521
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;229;192;32194;156;2222;314;97;23;62;91;1226;67;61;36934
Mofa, Moped;2;3;201;6;25;2;0;1;0;1;18;0;0;259
Motorrad;2;2;394;6;53;3;0;0;1;3;23;0;0;487
Personenkraftwagen;210;171;28250;134;1874;272;88;20;52;82;1129;66;58;32406
Kraftomnibus, Obus;2;2;329;0;21;3;1;0;0;0;3;0;0;361
Liefer- und Lastkraftw.;10;10;1973;10;174;20;7;1;5;5;36;1;3;2255
Sattelschlepper;1;1;251;0;26;7;1;1;1;0;6;0;0;295
Landwirt. Zugmaschine;0;2;70;0;9;1;0;0;1;0;0;0;0;83
andere Zugmaschine;0;0;22;0;3;0;0;0;0;0;1;0;0;26
LKW mit Spezialaufbau;0;0;60;0;6;2;0;0;0;0;1;0;0;69
Fahrrad;0;1;25;0;0;0;0;0;0;0;0;0;0;26
anderes Fahrzeug;2;0;588;0;30;3;0;0;2;0;9;0;0;634
Fußgänger;0;0;9;0;1;0;0;0;0;0;0;0;0;10
sonstige Person;0;0;22;0;0;1;0;0;0;0;0;0;0;23
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;43;146;13103;49;1562;572;156;31;47;17;904;24;17;16671
Mofa, Moped;0;0;23;0;4;2;0;0;0;0;0;0;0;29
Motorrad;1;6;140;3;15;3;3;0;0;1;13;0;0;185
Personenkraftwagen;41;120;10599;42;1203;421;126;28;37;14;789;21;15;13456
Kraftomnibus, Obus;0;4;89;1;13;1;2;1;0;0;2;0;0;113
Liefer- und Lastkraftw.;1;6;1219;2;195;72;16;1;6;2;60;3;2;1585
Sattelschlepper;0;5;670;1;94;65;4;1;2;0;30;0;0;872
Landwirt. Zugmaschine;0;2;135;0;13;3;2;0;0;0;2;0;0;157
andere Zugmaschine;0;0;23;0;7;1;0;0;0;0;0;0;0;31
LKW mit Spezialaufbau;0;2;60;0;5;2;0;0;1;0;1;0;0;71
Fahrrad;0;0;2;0;0;0;0;0;0;0;0;0;0;2
anderes Fahrzeug;0;1;130;0;12;2;3;0;1;0;7;0;0;156
Fußgänger;0;0;3;0;0;0;0;0;0;0;0;0;0;3
sonstige Person;0;0;10;0;1;0;0;0;0;0;0;0;0;11
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;272;338;45297;205;3784;886;253;54;109;108;2130;91;78;53605
Mofa, Moped;2;3;224;6;29;4;0;1;0;1;18;0;0;288
Motorrad;3;8;534;9;68;6;3;0;1;4;36;0;0;672
Personenkraftwagen;251;291;38849;176;3077;693;214;48;89;96;1918;87;73;45862
Kraftomnibus, Obus;2;6;418;1;34;4;3;1;0;0;5;0;0;474
Liefer- und Lastkraftw.;11;16;3192;12;369;92;23;2;11;7;96;4;5;3840
Sattelschlepper;1;6;921;1;120;72;5;2;3;0;36;0;0;1167
Landwirt. Zugmaschine;0;4;205;0;22;4;2;0;1;0;2;0;0;240
andere Zugmaschine;0;0;45;0;10;1;0;0;0;0;1;0;0;57
LKW mit Spezialaufbau;0;2;120;0;11;4;0;0;1;0;2;0;0;140
Fahrrad;0;1;27;0;0;0;0;0;0;0;0;0;0;28
anderes Fahrzeug;2;1;718;0;42;5;3;0;3;0;16;0;0;790
Fußgänger;0;0;12;0;1;0;0;0;0;0;0;0;0;13
sonstige Person;0;0;32;0;1;1;0;0;0;0;0;0;0;34
Auf Autobahnen - Unfälle mit Getöteten;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;7;100;2;37;13;0;0;0;1;1;13;0;174
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;1;5;0;1;0;0;0;0;0;1;0;0;8
Personenkraftwagen;0;1;48;0;10;8;0;0;0;1;0;5;0;73
Kraftomnibus, Obus;0;1;1;0;0;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;0;3;15;0;8;0;0;0;0;0;0;4;0;30
Sattelschlepper;0;1;28;0;15;5;0;0;0;0;0;4;0;53
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;1;0;0;0;0;0;0;0;0;0;1
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderes Fahrzeug;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger;0;0;3;1;2;0;0;0;0;0;0;0;0;6
sonstige Person;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auf Autobahnen – Unfälle mit Personenschaden;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;200;6633;25;1135;795;1;10;18;2;157;46;7;9029
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;11;131;0;8;5;0;0;0;0;13;0;2;170
Personenkraftwagen;0;154;5152;14;722;542;0;6;11;2;116;27;4;6750
Kraftomnibus, Obus;0;1;27;2;7;3;0;0;0;0;2;0;1;43
Liefer- und Lastkraftw.;0;20;643;6;196;105;0;2;4;0;11;8;0;995
Sattelschlepper;0;14;569;1;170;128;0;1;3;0;10;8;0;904
Landwirt. Zugmaschine;0;0;4;0;1;0;0;0;0;0;0;0;0;5
andere Zugmaschine;0;0;6;0;3;0;0;1;0;0;1;0;0;11
LKW mit Spezialaufbau;0;0;17;1;7;4;0;0;0;0;0;0;0;29
Fahrrad;0;0;3;0;0;0;0;0;0;0;0;0;0;3
anderes Fahrzeug;0;0;48;0;9;4;0;0;0;0;2;3;0;66
Fußgänger;0;0;28;1;10;4;1;0;0;0;2;0;0;46
sonstige Person;0;0;5;0;2;0;0;0;0;0;0;0;0;7
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;Fahrrad;anderes Fahrzeug;Fußgänger;sonstige Person;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;12;2896;10;549;369;0;6;11;0;476;4;5;4338
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;2;8;0;4;0;0;0;0;0;2;0;0;16
Personenkraftwagen;0;8;2081;9;395;274;0;5;8;0;413;4;4;3201
Kraftomnibus, Obus;0;1;10;0;3;0;0;0;0;0;1;0;0;15
Liefer- und Lastkraftw.;0;0;355;0;78;46;0;0;2;0;35;0;1;517
Sattelschlepper;0;1;390;1;61;47;0;1;1;0;21;0;0;523
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;2;0;3;0;0;0;0;0;0;0;0;5
LKW mit Spezialaufbau;0;0;20;0;1;1;0;0;0;0;0;0;0;22
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderes Fahrzeug;0;0;28;0;4;1;0;0;0;0;4;0;0;37
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sonstige Person;0;0;2;0;0;0;0;0;0;0;0;0;0;2
