Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Kraftrad mit amtlichem Kennzeichen 2;3;11;0;6;150;1;4;5;5;0;11;0;3;199
Personenkraftwagen;104;82;17;84;378;0;14;11;16;1;7;0;5;719
Bus;6;6;0;3;17;0;1;1;0;0;0;0;0;34
Lastkraftwagen 3 bis einschließlich 3,5t;5;4;2;1;22;0;2;0;2;0;0;0;0;38
Lastkraftwagen 3 über 3,5t;13;13;8;7;69;0;7;2;5;0;1;0;0;125
Sattelzugmaschine;12;6;0;7;87;0;11;6;8;0;1;0;2;140
übriges Güterkraftfahrzeug;0;2;1;0;8;0;1;1;0;1;0;0;0;14
Landwirt. Zugmaschine;1;3;0;7;7;0;1;1;0;0;0;0;0;20
Straßenbahn;27;4;0;0;2;0;0;0;0;0;0;0;0;33
anderer Verkehrsteilnehmer;10;15;0;3;16;0;0;4;0;0;0;0;0;48
Unfälle zwischen zwei Beteiligten insg.;184;160;28;125;1011;11;72;79;64;13;26;5;24;1802
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2406;181;155;15465;413;809;224;84;49;29;59;609;20483
Fahrrad 4;1524;4638;230;182;32863;279;1656;528;206;68;63;12;1017;43266
Kraftrad mit Versicherungskennzeichen 1;156;185;62;41;5438;47;269;86;30;14;15;1;207;6551
Kraftrad mit amtlichem Kennzeichen 2;228;301;56;145;8053;66;387;103;50;12;53;1;215;9670
Personenkraftwagen;4943;10595;2701;2817;50548;442;2445;1004;579;145;162;53;480;76914
Bus;341;262;38;35;1613;28;75;42;27;0;8;3;98;2570
Lastkraftwagen 3 bis einschließlich 3,5t;158;379;105;124;1340;18;103;40;15;3;8;5;17;2315
Lastkraftwagen 3 über 3,5t;42;134;50;41;634;16;36;39;13;1;9;4;15;1034
Sattelzugmaschine;30;66;15;26;286;5;16;14;22;1;0;0;3;484
übriges Güterkraftfahrzeug;6;22;4;8;112;2;8;4;3;1;2;0;2;174
Landwirt. Zugmaschine;15;16;10;15;137;1;3;4;2;0;2;0;1;206
Straßenbahn;334;139;8;5;555;4;34;11;6;2;0;16;22;1136
anderer Verkehrsteilnehmer;63;160;33;35;680;79;32;42;16;6;22;11;31;1210
Unfälle zwischen zwei Beteiligten insg.;7840;19303;3493;3629;117724;1400;5873;2141;1053;302;373;165;2717;166013
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;152;28;24;659;7;46;15;9;4;17;0;37;998
Fahrrad 4;97;663;55;61;2113;14;103;46;25;12;50;0;164;3403
Kraftrad mit Versicherungskennzeichen 1;12;22;22;18;843;7;37;36;21;4;13;0;40;1075
Kraftrad mit amtlichem Kennzeichen 2;18;106;21;374;2731;17;126;69;40;12;114;0;153;3781
Personenkraftwagen;291;883;333;1771;27441;103;1474;830;937;93;315;0;473;34944
Bus;5;9;1;18;175;3;10;12;11;1;2;0;8;255
Lastkraftwagen 3 bis einschließlich 3,5t;15;33;13;74;1045;6;97;60;62;6;13;0;28;1452
Lastkraftwagen 3 über 3,5t;8;23;15;55;917;7;110;115;85;11;12;0;16;1374
Sattelzugmaschine;9;9;5;32;1049;8;119;99;153;8;5;0;12;1508
übriges Güterkraftfahrzeug;2;2;2;9;132;0;8;12;8;5;1;0;5;186
Landwirt. Zugmaschine;4;10;11;53;288;3;16;7;5;0;5;0;4;406
Straßenbahn;7;0;0;0;10;0;0;0;0;0;1;0;0;18
anderer Verkehrsteilnehmer;8;18;8;35;299;10;24;19;12;1;4;0;17;455
Unfälle zwischen zwei Beteiligten insg.;476;1930;514;2524;37702;185;2170;1320;1368;157;552;0;957;49855
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2558;209;179;16124;420;855;239;93;53;46;59;646;21481
Fahrrad 4;1621;5301;285;243;34976;293;1759;574;231;80;113;12;1181;46669
Kraftrad mit Versicherungskennzeichen 1;168;207;84;59;6281;54;306;122;51;18;28;1;247;7626
Kraftrad mit amtlichem Kennzeichen 2;246;407;77;519;10784;83;513;172;90;24;167;1;368;13451
Personenkraftwagen;5234;11478;3034;4588;77989;545;3919;1834;1516;238;477;53;953;111858
Bus;346;271;39;53;1788;31;85;54;38;1;10;3;106;2825
Lastkraftwagen 3 bis einschließlich 3,5t;173;412;118;198;2385;24;200;100;77;9;21;5;45;3767
Lastkraftwagen 3 über 3,5t;50;157;65;96;1551;23;146;154;98;12;21;4;31;2408
Sattelzugmaschine;39;75;20;58;1335;13;135;113;175;9;5;0;15;1992
übriges Güterkraftfahrzeug;8;24;6;17;244;2;16;16;11;6;3;0;7;360
Landwirt. Zugmaschine;19;26;21;68;425;4;19;11;7;0;7;0;5;612
Straßenbahn;341;139;8;5;565;4;34;11;6;2;1;16;22;1154
anderer Verkehrsteilnehmer;71;178;41;70;979;89;56;61;28;7;26;11;48;1665
Unfälle zwischen zwei Beteiligten insg.;8316;21233;4007;6153;155426;1585;8043;3461;2421;459;925;165;3674;215868
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;9;0;0;0;0;0;0;0;0;9
Fahrrad 4;0;0;0;0;20;0;1;0;0;0;0;0;0;21
Kraftrad mit Versicherungskennzeichen 1;0;3;2;0;180;2;14;2;3;1;0;0;17;224
Kraftrad mit amtlichem Kennzeichen 2;2;4;0;7;368;2;27;12;4;2;0;0;57;485
Personenkraftwagen;54;59;167;191;24402;109;1048;458;260;64;66;11;1356;28245
Bus;0;1;1;1;298;0;8;2;0;0;0;0;2;313
Lastkraftwagen 3 bis einschließlich 3,5t;1;5;7;1;961;2;51;25;11;3;2;0;33;1102
Lastkraftwagen 3 über 3,5t;0;0;0;0;524;0;33;15;7;2;4;0;11;596
Sattelzugmaschine;0;0;2;1;221;0;13;10;8;2;1;0;8;266
übriges Güterkraftfahrzeug;0;0;1;1;77;1;2;1;3;2;0;0;1;89
Landwirt. Zugmaschine;0;1;0;0;87;0;2;1;0;0;3;0;3;97
Straßenbahn;0;0;0;0;302;0;8;2;0;0;0;0;1;313
anderer Verkehrsteilnehmer;0;0;1;2;178;1;11;0;0;0;0;0;7;200
Unfälle zwischen zwei Beteiligten insg.;57;73;181;204;27627;117;1218;528;296;76;76;11;1496;31960
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;17;0;0;0;0;0;0;0;0;17
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;16;115;1;4;4;6;1;4;0;14;165
Personenkraftwagen;12;11;16;120;8918;36;480;393;427;49;111;0;694;11267
Bus;0;0;0;0;70;1;3;2;1;0;0;0;0;77
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;3;529;1;35;24;18;5;4;0;32;651
Lastkraftwagen 3 über 3,5t;1;0;0;1;503;2;33;16;38;1;1;0;26;622
Sattelzugmaschine;0;0;1;1;644;2;52;46;68;3;3;0;46;866
übriges Güterkraftfahrzeug;0;0;0;0;70;2;2;1;4;0;0;0;1;80
Landwirt. Zugmaschine;0;0;0;2;137;1;10;2;7;0;1;0;3;163
Straßenbahn;0;0;0;0;3;0;0;0;0;0;1;0;0;4
anderer Verkehrsteilnehmer;0;0;0;1;122;1;11;5;8;0;2;0;2;152
Unfälle zwischen zwei Beteiligten insg.;13;11;17;144;11130;47;630;493;577;59;127;0;818;14066
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;9;0;0;0;0;0;0;0;0;9
Fahrrad 4;0;0;0;0;22;0;1;0;0;0;0;0;0;23
Kraftrad mit Versicherungskennzeichen 1;0;3;2;0;197;2;14;2;3;1;0;0;17;241
Kraftrad mit amtlichem Kennzeichen 2;2;4;0;23;483;3;31;16;10;3;4;0;71;650
Personenkraftwagen;66;70;183;311;33320;145;1528;851;687;113;177;11;2050;39512
Bus;0;1;1;1;368;1;11;4;1;0;0;0;2;390
Lastkraftwagen 3 bis einschließlich 3,5t;1;5;7;4;1490;3;86;49;29;8;6;0;65;1753
Lastkraftwagen 3 über 3,5t;1;0;0;1;1027;2;66;31;45;3;5;0;37;1218
Sattelzugmaschine;0;0;3;2;865;2;65;56;76;5;4;0;54;1132
übriges Güterkraftfahrzeug;0;0;1;1;147;3;4;2;7;2;0;0;2;169
Landwirt. Zugmaschine;0;1;0;2;224;1;12;3;7;0;4;0;6;260
Straßenbahn;0;0;0;0;305;0;8;2;0;0;1;0;1;317
anderer Verkehrsteilnehmer;0;0;1;3;300;2;22;5;8;0;2;0;9;352
Unfälle zwischen zwei Beteiligten insg.;70;84;198;348;38757;164;1848;1021;873;135;203;11;2314;46026
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;1;7;0;0;0;0;0;0;0;0;8
Personenkraftwagen;7;0;0;3;33;0;2;2;8;0;0;0;0;55
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;3;0;0;0;1;0;0;0;0;5
Lastkraftwagen 3 über 3,5t;2;0;0;1;10;0;5;2;4;0;0;0;0;24
Sattelzugmaschine;3;0;0;1;25;0;9;3;4;0;0;0;0;45
übriges Güterkraftfahrzeug;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;13;0;0;6;81;0;16;7;17;0;0;0;0;140
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;27;0;6;0;3;0;0;0;0;36
Fahrrad 4;0;0;0;0;5;0;0;0;0;0;0;0;0;5
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;16;132;1;7;5;5;0;0;0;13;179
Personenkraftwagen;19;2;1;179;5658;18;371;275;506;17;3;0;114;7163
Bus;0;0;0;2;26;0;2;1;5;0;0;0;1;37
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;2;259;1;35;22;31;1;0;0;8;360
Lastkraftwagen 3 über 3,5t;3;0;0;8;342;3;62;46;60;5;0;0;3;532
Sattelzugmaschine;4;0;0;11;657;6;102;73;116;4;0;0;3;976
übriges Güterkraftfahrzeug;1;0;0;0;31;0;5;4;7;1;0;0;3;52
Landwirt. Zugmaschine;0;0;0;0;3;0;0;1;0;0;0;0;0;4
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;3;66;1;11;7;4;0;0;0;3;95
Unfälle zwischen zwei Beteiligten insg.;28;2;1;221;7207;30;601;434;737;28;3;0;148;9440
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;3;0;1;1;2;0;0;0;3;10
Personenkraftwagen;2;0;0;19;1676;11;133;168;261;15;0;0;352;2637
Bus;0;0;0;0;15;0;0;0;0;0;0;0;0;15
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;0;0;109;0;10;9;14;0;0;0;16;158
Lastkraftwagen 3 über 3,5t;0;0;0;0;197;0;19;10;19;0;0;0;14;259
Sattelzugmaschine;0;0;0;0;410;1;34;30;52;2;0;0;39;568
übriges Güterkraftfahrzeug;0;0;0;0;21;0;1;0;0;0;0;0;0;22
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;34;0;3;2;8;0;0;0;1;48
Unfälle zwischen zwei Beteiligten insg.;2;0;0;19;2466;12;201;220;356;17;0;0;425;3718
