Unfälle mit Getöteten - Innerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Sattelzugmaschine;0;2;811;2;62;39;79;4;2;0;0;0;36;1037
übriges Güterkraftfahrzeug;0;0;78;1;8;2;9;0;0;0;0;0;6;104
Landwirt. Zugmaschine;0;0;115;1;8;1;1;0;3;0;0;0;1;130
Fahrrad 4;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Straßenbahn;0;0;4;0;1;0;0;0;0;0;0;0;0;5
Fußgänger 5;0;0;1;0;0;0;0;0;0;0;0;0;0;1
anderer Verkehrsteilnehmer;0;3;118;1;7;6;6;0;1;0;0;0;3;145
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;157;283;40379;187;1843;1102;1038;148;229;83;16;50;2520;48035
Kraftrad mit Versicherungskennzeichen 1;0;1;169;1;17;6;2;1;1;1;0;0;16;215
Kraftrad mit amtlichem Kennzeichen 2;0;13;453;4;38;10;9;0;5;0;0;1;49;582
Personenkraftwagen;149;252;34786;165;1482;919;827;126;196;81;16;49;2278;41326
Bus;0;3;423;2;14;5;4;2;4;0;0;0;9;466
Lastkraftwagen 3 bis einschließlich 3,5t;4;3;1358;8;102;49;38;4;10;0;0;0;65;1641
Lastkraftwagen 3 über 3,5t;1;2;1098;1;62;46;49;6;4;1;0;0;37;1307
Sattelzugmaschine;1;3;1059;2;74;48;89;5;3;0;0;0;42;1326
übriges Güterkraftfahrzeug;0;1;142;1;15;3;10;2;1;0;0;0;7;182
Landwirt. Zugmaschine;0;1;202;1;8;2;2;0;4;0;0;0;4;224
Fahrrad 4;1;0;28;0;1;0;0;1;0;0;0;0;0;31
Straßenbahn;0;0;314;0;15;3;1;1;0;0;0;0;1;335
Fußgänger 5;0;0;15;0;0;0;0;0;0;0;0;0;0;15
anderer Verkehrsteilnehmer;1;4;332;2;15;11;7;0;1;0;0;0;12;385
Auf Autobahnen - Unfälle mit Getöteten;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;6;81;1;40;12;24;1;0;0;0;12;1;178
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;1;6;0;0;0;1;0;0;0;0;1;0;9
Personenkraftwagen;0;2;32;0;5;3;6;0;0;0;0;8;0;56
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;0;1;3;0;1;0;2;1;0;0;0;2;0;10
Lastkraftwagen 3 über 3,5t;0;1;9;1;11;1;1;0;0;0;0;1;0;25
Sattelzugmaschine;0;0;26;0;22;8;11;0;0;0;0;0;1;68
übriges Güterkraftfahrzeug;0;1;2;0;0;0;0;0;0;0;0;0;0;3
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;1;0;1;0;2;0;0;0;0;0;0;4
anderer Verkehrsteilnehmer;0;0;2;0;0;0;1;0;0;0;0;0;0;3
Auf Autobahnen – Unfälle mit Personenschaden;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;1;211;8233;34;823;459;927;30;2;3;0;26;160;10909
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;15;121;0;14;9;12;1;0;0;0;1;7;180
Personenkraftwagen;1;164;6510;23;477;277;628;18;2;2;0;18;130;8250
Bus;0;0;34;1;3;4;3;0;0;0;0;0;4;49
Lastkraftwagen 3 bis einschließlich 3,5t;0;11;303;1;53;14;35;2;0;0;0;3;4;426
Lastkraftwagen 3 über 3,5t;0;8;369;1;77;52;69;1;0;0;0;2;4;583
Sattelzugmaschine;0;9;758;7;176;86;158;4;0;0;0;2;10;1210
übriges Güterkraftfahrzeug;0;1;39;0;2;10;9;1;0;0;0;0;0;62
Landwirt. Zugmaschine;0;0;2;0;0;0;0;0;0;0;0;0;0;2
Fahrrad 4;0;0;5;0;0;0;0;0;0;1;0;0;0;6
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;2;34;1;10;2;5;1;0;0;0;0;0;55
anderer Verkehrsteilnehmer;0;1;58;0;11;5;8;2;0;0;0;0;1;86
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Fahrrad 4;Straßenbahn;Fußgänger 5;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle zwischen zwei Beteiligten insg.;0;14;3109;15;266;258;463;13;2;0;0;0;446;4586
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;8;0;1;1;1;0;0;0;0;0;4;15
Personenkraftwagen;0;11;2079;12;154;191;341;9;1;0;0;0;377;3175
Bus;0;0;9;0;4;0;0;0;0;0;0;0;1;14
Lastkraftwagen 3 bis einschließlich 3,5t;0;0;151;1;20;12;24;0;1;0;0;0;16;225
Lastkraftwagen 3 über 3,5t;0;0;237;0;30;20;22;1;0;0;0;0;16;326
Sattelzugmaschine;0;2;565;1;52;29;67;3;0;0;0;0;25;744
übriges Güterkraftfahrzeug;0;0;24;0;3;1;4;0;0;0;0;0;4;36
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;1;36;1;2;4;4;0;0;0;0;0;3;51
