Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Sattelschlepper;5;6;3;5;81;0;24;7;0;0;0;1;0;132
Landwirt. Zugmaschine;0;0;1;4;9;0;0;0;0;0;0;0;0;14
andere Zugmaschine;0;0;0;1;1;0;0;0;0;0;0;0;0;2
LKW mit Spezialaufbau;1;0;0;0;6;0;0;0;0;0;0;0;0;7
anderes Fahrzeug;32;13;3;5;29;0;4;0;0;0;0;1;0;87
sonstige Person;0;0;0;0;3;0;2;0;0;0;1;0;0;6
Unfälle zwischen zwei Beteiligten insg.;175;152;39;134;1099;13;169;52;23;4;8;18;1;1887
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2159;203;113;15943;382;1164;59;31;4;37;640;0;20735
Fahrrad;1411;4372;265;196;31261;244;2368;207;50;15;43;669;349;41450
Mofa, Moped;177;175;92;30;5880;55;440;35;23;2;6;153;35;7103
Motorrad;200;309;70;128;7498;57;465;39;45;2;17;151;40;9021
Personenkraftwagen;5297;10214;2968;2591;49787;423;3671;548;129;36;102;568;27;76361
Kraftomnibus, Obus;307;228;33;32;1648;31;125;12;4;2;4;72;41;2539
Liefer- und Lastkraftw.;254;509;176;151;2171;35;248;35;16;1;10;25;7;3638
Sattelschlepper;21;46;26;10;253;5;31;16;1;0;2;9;1;421
Landwirt. Zugmaschine;7;16;12;13;96;2;8;2;3;0;1;2;0;162
andere Zugmaschine;0;7;3;3;22;0;0;0;0;2;0;1;0;38
LKW mit Spezialaufbau;6;15;3;3;70;0;7;4;0;0;1;1;1;111
anderes Fahrzeug;393;247;31;44;1106;12;82;18;6;1;3;53;18;2014
sonstige Person;0;42;11;8;209;65;29;2;7;0;2;13;0;388
Unfälle zwischen zwei Beteiligten insg.;8073;18339;3893;3322;115944;1311;8638;977;315;65;228;2357;519;163981
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;127;27;23;686;8;69;9;16;3;2;27;0;997
Fahrrad;91;619;58;46;2054;10;194;28;53;7;4;64;72;3300
Mofa, Moped;7;25;23;19;886;13;103;19;18;0;2;49;15;1179
Motorrad;18;79;30;286;2563;21;203;55;100;5;6;122;21;3509
Personenkraftwagen;304;816;396;1477;26771;121;2455;863;323;28;79;435;43;34111
Kraftomnibus, Obus;7;6;7;19;206;2;21;4;5;1;2;6;0;286
Liefer- und Lastkraftw.;20;76;33;126;2061;20;438;133;34;5;13;40;2;3001
Sattelschlepper;9;9;7;31;997;5;238;115;5;6;8;15;1;1446
Landwirt. Zugmaschine;5;16;10;44;285;1;23;2;6;2;2;2;1;399
andere Zugmaschine;0;1;3;5;32;0;10;2;1;2;0;0;0;56
LKW mit Spezialaufbau;0;3;1;6;86;1;14;7;1;1;3;1;0;124
anderes Fahrzeug;7;12;7;20;279;2;42;12;7;1;1;15;2;407
sonstige Person;0;10;4;8;46;1;8;1;6;0;0;3;0;87
Unfälle zwischen zwei Beteiligten insg.;468;1799;606;2110;36952;205;3818;1250;575;61;122;779;157;48902
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;2286;230;136;16629;390;1233;68;47;7;39;667;0;21732
Fahrrad;1502;4991;323;242;33315;254;2562;235;103;22;47;733;421;44750
Mofa, Moped;184;200;115;49;6766;68;543;54;41;2;8;202;50;8282
Motorrad;218;388;100;414;10061;78;668;94;145;7;23;273;61;12530
Personenkraftwagen;5601;11030;3364;4068;76558;544;6126;1411;452;64;181;1003;70;110472
Kraftomnibus, Obus;314;234;40;51;1854;33;146;16;9;3;6;78;41;2825
Liefer- und Lastkraftw.;274;585;209;277;4232;55;686;168;50;6;23;65;9;6639
Sattelschlepper;30;55;33;41;1250;10;269;131;6;6;10;24;2;1867
Landwirt. Zugmaschine;12;32;22;57;381;3;31;4;9;2;3;4;1;561
andere Zugmaschine;0;8;6;8;54;0;10;2;1;4;0;1;0;94
LKW mit Spezialaufbau;6;18;4;9;156;1;21;11;1;1;4;2;1;235
anderes Fahrzeug;400;259;38;64;1385;14;124;30;13;2;4;68;20;2421
sonstige Person;0;52;15;16;255;66;37;3;13;0;2;16;0;475
Unfälle zwischen zwei Beteiligten insg.;8541;20138;4499;5432;152896;1516;12456;2227;890;126;350;3136;676;212883
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;8;0;0;0;0;0;0;0;0;8
Fahrrad;0;0;1;0;23;0;2;0;0;0;0;0;0;26
Mofa, Moped;0;0;4;2;208;1;38;1;0;0;0;24;0;278
Motorrad;1;1;3;5;364;1;40;2;2;0;2;37;0;458
Personenkraftwagen;58;58;214;128;28227;144;1848;253;92;14;63;1277;40;32416
Kraftomnibus, Obus;0;0;1;1;326;3;14;1;0;0;0;3;0;349
Liefer- und Lastkraftw.;2;3;7;8;1952;6;153;26;7;1;4;54;2;2225
Sattelschlepper;0;0;2;0;237;0;21;10;3;0;0;5;0;278
Landwirt. Zugmaschine;0;0;1;0;78;1;3;1;2;0;1;2;0;89
andere Zugmaschine;0;0;0;0;19;0;2;0;0;0;0;0;0;21
LKW mit Spezialaufbau;0;0;0;2;68;0;7;1;0;0;0;0;0;78
anderes Fahrzeug;0;0;1;0;540;1;23;2;1;0;1;9;0;578
sonstige Person;0;0;0;1;20;0;0;0;0;0;0;0;0;21
Unfälle zwischen zwei Beteiligten insg.;61;62;234;147;32070;157;2151;297;107;15;71;1411;42;36825
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Fahrrad;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Mofa, Moped;0;0;1;0;41;1;1;1;0;0;0;1;1;47
Motorrad;1;2;0;9;125;0;11;3;2;0;0;8;1;162
Personenkraftwagen;21;13;26;117;10391;59;1112;424;135;16;37;731;21;13103
Kraftomnibus, Obus;0;0;0;1;100;0;7;2;0;1;0;3;1;115
Liefer- und Lastkraftw.;1;0;1;4;1297;9;161;67;13;6;7;73;1;1640
Sattelschlepper;0;0;0;4;684;1;107;76;3;1;1;37;0;914
Landwirt. Zugmaschine;0;0;0;0;129;1;17;5;5;2;0;1;0;160
andere Zugmaschine;0;0;0;0;21;0;1;3;0;1;1;0;0;27
LKW mit Spezialaufbau;0;0;0;2;62;1;9;1;0;0;0;0;0;75
anderes Fahrzeug;0;0;0;0;109;0;11;4;0;0;1;3;0;128
sonstige Person;0;0;0;0;11;0;1;0;0;0;0;0;0;12
Unfälle zwischen zwei Beteiligten insg.;23;15;28;137;12975;72;1438;586;158;27;47;857;25;16388
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;11;0;0;0;0;0;0;0;0;11
Fahrrad;0;0;1;0;25;0;2;0;0;0;0;0;0;28
Mofa, Moped;0;0;5;2;249;2;39;2;0;0;0;25;1;325
Motorrad;2;3;3;14;489;1;51;5;4;0;2;45;1;620
Personenkraftwagen;79;71;240;245;38618;203;2960;677;227;30;100;2008;61;45519
Kraftomnibus, Obus;0;0;1;2;426;3;21;3;0;1;0;6;1;464
Liefer- und Lastkraftw.;3;3;8;12;3249;15;314;93;20;7;11;127;3;3865
Sattelschlepper;0;0;2;4;921;1;128;86;6;1;1;42;0;1192
Landwirt. Zugmaschine;0;0;1;0;207;2;20;6;7;2;1;3;0;249
andere Zugmaschine;0;0;0;0;40;0;3;3;0;1;1;0;0;48
LKW mit Spezialaufbau;0;0;0;4;130;1;16;2;0;0;0;0;0;153
anderes Fahrzeug;0;0;1;0;649;1;34;6;1;0;2;12;0;706
sonstige Person;0;0;0;1;31;0;1;0;0;0;0;0;0;33
Unfälle zwischen zwei Beteiligten insg.;84;77;262;284;45045;229;3589;883;265;42;118;2268;67;53213
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;3;0;1;2;0;0;0;0;0;6
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Personenkraftwagen;5;0;0;6;22;0;3;9;0;0;0;0;0;45
Kraftomnibus, Obus;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Liefer- und Lastkraftw.;1;0;0;1;13;0;6;1;0;0;0;0;0;22
Sattelschlepper;2;0;1;4;29;0;16;5;0;0;0;0;0;57
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
andere Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LKW mit Spezialaufbau;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderes Fahrzeug;0;0;0;0;0;0;1;0;0;0;0;0;0;1
sonstige Person;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Unfälle zwischen zwei Beteiligten insg.;8;0;1;11;73;0;27;17;0;0;0;0;0;137
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;1;31;1;5;4;0;1;1;1;0;45
Fahrrad;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Mofa, Moped;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Motorrad;0;0;0;14;114;1;19;4;0;0;0;10;0;162
Personenkraftwagen;19;1;2;165;5040;19;627;486;1;5;19;106;3;6493
Kraftomnibus, Obus;0;0;0;0;29;0;4;2;0;0;0;0;0;35
Liefer- und Lastkraftw.;3;0;0;14;617;4;189;85;0;0;2;11;1;926
Sattelschlepper;6;0;1;11;580;4;172;86;0;2;3;8;0;873
Landwirt. Zugmaschine;0;0;0;0;2;0;0;0;0;0;0;0;0;2
andere Zugmaschine;0;0;0;1;7;0;5;1;0;1;0;0;0;15
LKW mit Spezialaufbau;0;0;0;0;8;0;8;3;0;0;0;0;0;19
anderes Fahrzeug;0;0;0;2;51;0;8;7;0;0;1;3;0;72
sonstige Person;0;0;0;0;4;0;2;0;0;0;0;0;0;6
Unfälle zwischen zwei Beteiligten insg.;28;1;3;208;6486;29;1039;678;1;9;26;139;4;8651
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger;Fahrrad;Mofa, Moped;Motorrad;Personenkraftwagen;Kraftomnibus, Obus;Liefer- und Lastkraftw.;Sattelschlepper;Landwirt. Zugmaschine;andere Zugmaschine;LKW mit Spezialaufbau;anderes Fahrzeug;sonstige Person;Unfälle insgesamt
Fußgänger;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mofa, Moped;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Motorrad;0;0;0;0;3;0;1;1;0;0;0;3;0;8
Personenkraftwagen;0;0;0;13;1995;11;381;279;1;2;11;418;2;3113
Kraftomnibus, Obus;0;0;0;0;17;0;2;1;0;0;0;1;0;21
Liefer- und Lastkraftw.;0;0;0;0;375;3;75;39;0;2;0;50;0;544
Sattelschlepper;0;0;0;0;432;0;72;62;0;0;1;24;0;591
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;0;0;0;0;0;1
andere Zugmaschine;0;0;0;0;7;0;0;1;0;1;1;0;0;10
LKW mit Spezialaufbau;0;0;0;0;17;0;1;1;0;0;0;0;0;19
anderes Fahrzeug;0;0;0;0;27;0;3;3;0;0;0;1;0;34
sonstige Person;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Unfälle zwischen zwei Beteiligten insg.;0;0;0;13;2876;14;535;387;1;5;13;497;2;4343
