Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;8;1;2;168;4;18;29;16;3;2;2;5;258
Fahrrad 4;3;9;0;2;84;0;10;26;16;6;3;0;0;159
Kraftrad mit Versicherungskennzeichen 1;1;2;0;2;15;0;3;4;0;0;1;0;1;29
Kraftrad mit amtlichem Kennzeichen 2;6;8;3;13;131;1;3;7;3;2;9;0;1;187
Personenkraftwagen;100;82;15;84;336;0;11;9;8;1;3;0;10;659
Bus;3;3;1;2;13;0;0;0;0;0;0;0;0;22
Lastkraftwagen 3 bis einschließlich 3,5t;3;4;1;4;21;0;2;1;2;0;0;0;2;40
Lastkraftwagen 3 über 3,5t;12;8;2;10;69;0;7;1;3;0;0;0;1;113
Sattelzugmaschine;12;4;0;9;80;0;20;6;4;0;0;0;1;136
übriges Güterkraftfahrzeug;3;3;0;3;5;0;2;2;2;0;0;0;0;20
Landwirt. Zugmaschine;0;1;1;9;9;0;1;0;0;0;1;0;0;22
Straßenbahn;21;6;0;0;1;0;0;0;0;0;0;0;0;28
anderer Verkehrsteilnehmer;9;5;0;5;22;0;0;3;0;1;0;0;1;46
Unfälle zwischen zwei Beteiligten insg.;173;143;24;145;954;5;77;88;54;13;19;2;22;1719
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2291;137;139;16158;424;807;210;78;38;40;68;576;20966
Fahrrad 4;1525;4837;204;212;33579;276;1555;563;224;76;41;16;1052;44160
Kraftrad mit Versicherungskennzeichen 1;127;154;60;33;5043;35;243;88;29;11;12;4;160;5999
Kraftrad mit amtlichem Kennzeichen 2;208;287;63;171;7234;57;362;100;40;21;30;0;179;8752
Personenkraftwagen;5141;10803;2362;2722;51281;468;2254;1039;661;146;146;44;481;77548
Bus;311;261;31;39;1708;43;80;35;12;4;4;2;111;2641
Lastkraftwagen 3 bis einschließlich 3,5t;117;342;97;118;1273;16;91;31;22;4;5;1;23;2140
Lastkraftwagen 3 über 3,5t;55;143;34;39;608;15;34;38;6;2;4;3;12;993
Sattelzugmaschine;28;60;18;19;314;3;11;20;10;2;0;2;12;499
übriges Güterkraftfahrzeug;8;28;6;11;125;2;4;5;2;2;1;1;1;196
Landwirt. Zugmaschine;3;16;11;23;123;2;5;1;2;0;4;0;3;193
Straßenbahn;325;159;7;5;626;10;34;14;7;7;0;12;20;1226
anderer Verkehrsteilnehmer;70;173;28;43;734;91;40;33;10;4;8;6;38;1278
Unfälle zwischen zwei Beteiligten insg.;7918;19554;3058;3574;118806;1442;5520;2177;1103;317;295;159;2668;166591
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;148;13;17;662;11;54;16;14;1;18;0;30;984
Fahrrad 4;86;718;40;77;2162;11;105;49;25;10;49;0;167;3499
Kraftrad mit Versicherungskennzeichen 1;3;21;22;20;696;7;37;28;20;4;14;0;41;913
Kraftrad mit amtlichem Kennzeichen 2;19;84;25;388;2659;18;121;61;57;9;106;0;144;3691
Personenkraftwagen;259;870;289;1772;29418;109;1496;854;1045;112;315;1;476;37016
Bus;5;9;4;20;214;4;11;10;13;3;3;0;5;301
Lastkraftwagen 3 bis einschließlich 3,5t;19;38;14;66;1082;8;86;47;43;5;9;0;20;1437
Lastkraftwagen 3 über 3,5t;12;17;10;41;938;13;86;118;94;7;3;0;17;1356
Sattelzugmaschine;7;11;2;42;1124;3;163;123;172;8;9;0;18;1682
übriges Güterkraftfahrzeug;0;4;2;10;123;3;8;11;12;1;2;0;2;178
Landwirt. Zugmaschine;6;14;6;57;325;2;18;4;8;0;9;0;0;449
Straßenbahn;4;1;0;0;5;0;0;0;1;0;0;0;0;11
anderer Verkehrsteilnehmer;8;19;10;40;286;7;24;11;9;6;9;0;7;436
Unfälle zwischen zwei Beteiligten insg.;428;1954;437;2550;39694;196;2209;1332;1513;166;546;1;927;51953
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2439;150;156;16820;435;861;226;92;39;58;68;606;21950
Fahrrad 4;1611;5555;244;289;35741;287;1660;612;249;86;90;16;1219;47659
Kraftrad mit Versicherungskennzeichen 1;130;175;82;53;5739;42;280;116;49;15;26;4;201;6912
Kraftrad mit amtlichem Kennzeichen 2;227;371;88;559;9893;75;483;161;97;30;136;0;323;12443
Personenkraftwagen;5400;11673;2651;4494;80699;577;3750;1893;1706;258;461;45;957;114564
Bus;316;270;35;59;1922;47;91;45;25;7;7;2;116;2942
Lastkraftwagen 3 bis einschließlich 3,5t;136;380;111;184;2355;24;177;78;65;9;14;1;43;3577
Lastkraftwagen 3 über 3,5t;67;160;44;80;1546;28;120;156;100;9;7;3;29;2349
Sattelzugmaschine;35;71;20;61;1438;6;174;143;182;10;9;2;30;2181
übriges Güterkraftfahrzeug;8;32;8;21;248;5;12;16;14;3;3;1;3;374
Landwirt. Zugmaschine;9;30;17;80;448;4;23;5;10;0;13;0;3;642
Straßenbahn;329;160;7;5;631;10;34;14;8;7;0;12;20;1237
anderer Verkehrsteilnehmer;78;192;38;83;1020;98;64;44;19;10;17;6;45;1714
Unfälle zwischen zwei Beteiligten insg.;8346;21508;3495;6124;158500;1638;7729;3509;2616;483;841;160;3595;218544
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;8;0;0;0;0;0;0;0;0;8
Fahrrad 4;0;0;0;1;33;0;3;0;0;0;0;0;0;37
Kraftrad mit Versicherungskennzeichen 1;0;1;0;2;136;1;17;2;1;1;1;0;24;186
Kraftrad mit amtlichem Kennzeichen 2;4;7;3;6;288;4;25;14;5;2;2;1;45;406
Personenkraftwagen;44;73;158;144;24450;149;924;463;287;81;77;4;1495;28349
Bus;0;0;0;2;306;3;11;6;2;0;1;0;5;336
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;4;8;860;2;47;21;11;6;3;0;33;996
Lastkraftwagen 3 über 3,5t;0;0;2;1;522;1;16;16;8;1;4;0;6;577
Sattelzugmaschine;0;0;2;0;251;2;9;9;21;0;2;0;5;301
übriges Güterkraftfahrzeug;0;0;0;0;80;0;6;2;2;1;0;0;1;92
Landwirt. Zugmaschine;0;0;1;2;78;0;3;4;2;0;4;0;0;94
Straßenbahn;0;0;0;0;302;1;10;4;0;1;0;0;1;319
anderer Verkehrsteilnehmer;0;1;2;2;214;0;5;2;4;1;2;0;6;239
Unfälle zwischen zwei Beteiligten insg.;49;82;172;168;27528;163;1076;543;343;94;96;5;1621;31940
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;1;1;0;0;0;0;0;0;0;2
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;17;0;2;2;0;0;0;0;0;21
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;5;119;3;8;10;4;1;0;0;14;164
Personenkraftwagen;8;7;15;106;9320;44;484;418;434;66;89;0;710;11701
Bus;0;0;0;1;65;0;3;4;1;1;1;0;3;79
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;1;469;4;38;29;38;2;3;0;25;610
Lastkraftwagen 3 über 3,5t;0;0;0;5;541;1;48;27;24;3;3;0;22;674
Sattelzugmaschine;0;0;1;2;737;5;54;37;75;4;4;0;28;947
übriges Güterkraftfahrzeug;0;0;0;0;74;0;3;3;2;2;0;0;1;85
Landwirt. Zugmaschine;0;0;0;1;137;0;6;5;4;1;3;0;0;157
Straßenbahn;0;0;0;0;4;0;0;0;0;0;0;0;0;4
anderer Verkehrsteilnehmer;0;0;0;1;125;2;8;4;1;1;2;0;3;147
Unfälle zwischen zwei Beteiligten insg.;9;7;16;122;11609;60;654;539;583;81;105;0;806;14591
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;8;0;0;0;0;0;0;0;0;8
Fahrrad 4;0;0;0;1;34;1;3;0;0;0;0;0;0;39
Kraftrad mit Versicherungskennzeichen 1;0;1;0;2;153;1;19;4;1;1;1;0;24;207
Kraftrad mit amtlichem Kennzeichen 2;4;7;3;11;407;7;33;24;9;3;2;1;59;570
Personenkraftwagen;52;80;173;250;33770;193;1408;881;721;147;166;4;2205;40050
Bus;0;0;0;3;371;3;14;10;3;1;2;0;8;415
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;4;9;1329;6;85;50;49;8;6;0;58;1606
Lastkraftwagen 3 über 3,5t;0;0;2;6;1063;2;64;43;32;4;7;0;28;1251
Sattelzugmaschine;0;0;3;2;988;7;63;46;96;4;6;0;33;1248
übriges Güterkraftfahrzeug;0;0;0;0;154;0;9;5;4;3;0;0;2;177
Landwirt. Zugmaschine;0;0;1;3;215;0;9;9;6;1;7;0;0;251
Straßenbahn;0;0;0;0;306;1;10;4;0;1;0;0;1;323
anderer Verkehrsteilnehmer;0;1;2;3;339;2;13;6;5;2;4;0;9;386
Unfälle zwischen zwei Beteiligten insg.;58;89;188;290;39137;223;1730;1082;926;175;201;5;2427;46531
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;2;0;0;0;4;0;0;0;0;6
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;3;2;0;0;2;0;1;0;0;0;8
Personenkraftwagen;8;0;0;6;29;0;1;3;5;0;0;0;4;56
Bus;0;0;0;0;1;0;0;0;0;0;0;0;0;1
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;1;2;0;0;0;0;0;0;0;0;4
Lastkraftwagen 3 über 3,5t;3;0;0;0;6;0;4;0;1;0;0;0;0;14
Sattelzugmaschine;2;0;0;3;26;0;15;5;4;0;0;0;0;55
übriges Güterkraftfahrzeug;0;0;0;0;0;0;2;2;2;0;0;0;0;6
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;1;2;0;0;1;0;0;0;0;0;4
Unfälle zwischen zwei Beteiligten insg.;14;0;0;14;70;0;22;13;16;1;0;0;4;154
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;31;1;3;2;8;0;0;0;1;47
Fahrrad 4;0;0;0;0;5;0;0;0;1;0;0;0;0;6
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;1;0;0;1;0;0;0;0;1;3
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;15;133;1;17;7;7;1;0;0;14;196
Personenkraftwagen;24;2;0;204;6589;17;431;283;610;33;5;0;115;8313
Bus;1;0;0;1;37;1;4;1;5;0;0;0;0;50
Lastkraftwagen 3 bis einschließlich 3,5t;3;0;0;6;302;4;32;15;24;2;2;0;4;394
Lastkraftwagen 3 über 3,5t;4;0;0;2;356;3;55;55;69;1;0;0;3;548
Sattelzugmaschine;2;0;0;10;719;1;133;90;134;6;1;0;10;1106
übriges Güterkraftfahrzeug;0;0;0;0;32;0;5;5;9;1;0;0;1;53
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;2;0;0;5;71;1;9;1;4;2;0;0;0;95
Unfälle zwischen zwei Beteiligten insg.;37;2;0;244;8276;29;689;460;871;46;8;0;149;10811
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;6;0;0;2;1;0;0;0;2;11
Personenkraftwagen;1;0;0;7;1881;9;151;180;279;18;3;0;380;2909
Bus;0;0;0;0;8;0;1;0;1;0;0;0;2;12
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;129;1;20;16;25;0;0;0;17;209
Lastkraftwagen 3 über 3,5t;0;0;0;1;201;1;25;14;13;0;0;0;11;266
Sattelzugmaschine;0;0;0;0;439;3;42;20;57;3;0;0;17;581
übriges Güterkraftfahrzeug;0;0;0;0;26;0;1;1;2;0;0;0;1;31
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;42;0;4;2;1;1;0;0;2;52
Unfälle zwischen zwei Beteiligten insg.;2;0;0;8;2732;14;244;235;379;22;3;0;432;4071
