Unfälle mit Getöteten - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Unfälle mit Getöteten – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2;2;6;162;4;20;24;15;1;1;4;3;244
Fahrrad 4;1;14;2;2;77;2;13;26;11;4;0;1;4;157
Kraftrad mit Versicherungskennzeichen 1;1;2;1;1;20;0;4;0;2;0;0;0;1;32
Kraftrad mit amtlichem Kennzeichen 2;3;4;0;15;134;2;9;2;4;3;7;0;1;184
Personenkraftwagen;85;90;17;90;302;1;17;7;11;0;4;0;7;631
Bus;3;5;1;3;12;0;0;0;0;1;0;0;1;26
Lastkraftwagen 3 bis einschließlich 3,5t;5;4;2;5;17;0;0;0;1;0;0;0;1;35
Lastkraftwagen 3 über 3,5t;10;7;2;6;55;0;11;1;1;1;0;0;0;94
Sattelzugmaschine;6;8;2;7;88;3;28;8;10;1;0;0;3;164
übriges Güterkraftfahrzeug;0;2;0;1;12;0;0;2;1;0;0;0;0;18
Landwirt. Zugmaschine;0;2;0;7;8;0;0;0;0;0;0;0;0;17
Straßenbahn;23;6;0;0;2;0;0;0;0;0;1;0;1;33
anderer Verkehrsteilnehmer;7;14;2;1;24;0;2;0;1;0;0;0;2;53
Unfälle zwischen zwei Beteiligten insg.;144;160;31;144;913;12;104;70;57;11;13;5;24;1688
Unfälle mit Personenschaden - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2351;134;155;15864;404;736;226;81;29;34;46;482;20542
Fahrrad 4;1631;5648;219;186;35423;322;1510;517;234;69;55;9;1209;47032
Kraftrad mit Versicherungskennzeichen 1;139;200;92;36;4979;49;234;84;49;9;14;2;167;6054
Kraftrad mit amtlichem Kennzeichen 2;202;283;52;192;7550;47;323;100;48;21;34;1;185;9038
Personenkraftwagen;4780;11389;2378;2985;48167;437;2067;918;671;137;173;45;471;74618
Bus;335;300;22;30;1743;53;69;39;20;6;3;1;126;2747
Lastkraftwagen 3 bis einschließlich 3,5t;135;324;112;119;1170;21;76;33;14;4;10;3;22;2043
Lastkraftwagen 3 über 3,5t;59;134;34;39;570;7;33;29;9;5;5;4;11;939
Sattelzugmaschine;19;66;14;27;325;4;11;11;16;1;3;1;6;504
übriges Güterkraftfahrzeug;9;25;2;7;86;5;3;3;1;2;2;0;0;145
Landwirt. Zugmaschine;5;19;8;12;142;1;8;2;0;0;3;0;4;204
Straßenbahn;319;175;7;3;672;6;34;13;7;2;1;15;29;1283
anderer Verkehrsteilnehmer;72;167;31;43;706;104;36;20;10;1;10;10;40;1250
Unfälle zwischen zwei Beteiligten insg.;7705;21081;3105;3834;117397;1460;5140;1995;1160;286;347;137;2752;166399
Unfälle mit Personenschaden – Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;168;20;20;602;7;27;14;19;1;12;0;25;915
Fahrrad 4;80;828;56;59;2337;16;114;57;43;3;50;0;165;3808
Kraftrad mit Versicherungskennzeichen 1;3;31;35;20;650;10;48;22;16;1;12;0;38;886
Kraftrad mit amtlichem Kennzeichen 2;20;80;23;389;2924;31;126;75;56;10;121;0;140;3995
Personenkraftwagen;271;897;305;1915;29034;124;1535;894;1070;93;301;1;427;36867
Bus;7;10;3;9;212;4;13;19;7;3;8;0;9;304
Lastkraftwagen 3 bis einschließlich 3,5t;8;26;15;75;974;7;89;40;52;6;7;1;20;1320
Lastkraftwagen 3 über 3,5t;14;24;11;57;846;5;117;107;104;7;10;0;17;1319
Sattelzugmaschine;14;11;5;42;1285;11;207;105;205;10;2;0;26;1923
übriges Güterkraftfahrzeug;1;7;1;11;117;1;11;8;6;4;4;0;2;173
Landwirt. Zugmaschine;0;17;1;46;284;4;13;6;6;1;7;0;2;387
Straßenbahn;4;1;0;0;2;0;0;0;1;0;0;0;0;8
anderer Verkehrsteilnehmer;4;26;8;41;305;8;27;10;13;5;11;0;12;470
Unfälle zwischen zwei Beteiligten insg.;426;2126;483;2684;39572;228;2327;1357;1598;144;545;2;883;52375
Unfälle mit Personenschaden – Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;2519;154;175;16466;411;763;240;100;30;46;46;507;21457
Fahrrad 4;1711;6476;275;245;37760;338;1624;574;277;72;105;9;1374;50840
Kraftrad mit Versicherungskennzeichen 1;142;231;127;56;5629;59;282;106;65;10;26;2;205;6940
Kraftrad mit amtlichem Kennzeichen 2;222;363;75;581;10474;78;449;175;104;31;155;1;325;13033
Personenkraftwagen;5051;12286;2683;4900;77201;561;3602;1812;1741;230;474;46;898;111485
Bus;342;310;25;39;1955;57;82;58;27;9;11;1;135;3051
Lastkraftwagen 3 bis einschließlich 3,5t;143;350;127;194;2144;28;165;73;66;10;17;4;42;3363
Lastkraftwagen 3 über 3,5t;73;158;45;96;1416;12;150;136;113;12;15;4;28;2258
Sattelzugmaschine;33;77;19;69;1610;15;218;116;221;11;5;1;32;2427
übriges Güterkraftfahrzeug;10;32;3;18;203;6;14;11;7;6;6;0;2;318
Landwirt. Zugmaschine;5;36;9;58;426;5;21;8;6;1;10;0;6;591
Straßenbahn;323;176;7;3;674;6;34;13;8;2;1;15;29;1291
anderer Verkehrsteilnehmer;76;193;39;84;1011;112;63;30;23;6;21;10;52;1720
Unfälle zwischen zwei Beteiligten insg.;8131;23207;3588;6518;156969;1688;7467;3352;2758;430;892;139;3635;218774
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;10;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;27;0;2;0;0;0;0;0;0;29
Kraftrad mit Versicherungskennzeichen 1;1;1;0;1;138;0;11;0;2;1;0;0;20;175
Kraftrad mit amtlichem Kennzeichen 2;1;4;3;3;321;8;32;4;9;2;1;0;34;422
Personenkraftwagen;32;71;115;156;23281;145;1014;468;287;68;95;11;1283;27026
Bus;1;0;0;1;289;1;8;2;3;0;0;0;6;311
Lastkraftwagen 3 bis einschließlich 3,5t;1;1;4;5;842;4;56;21;14;1;7;1;27;984
Lastkraftwagen 3 über 3,5t;0;0;3;4;495;1;18;12;11;2;1;0;10;557
Sattelzugmaschine;0;0;0;0;227;1;13;5;13;2;2;0;3;266
übriges Güterkraftfahrzeug;0;0;0;1;82;1;3;0;1;0;0;0;0;88
Landwirt. Zugmaschine;0;0;0;0;101;0;4;1;2;0;0;0;0;108
Straßenbahn;0;0;0;0;272;0;12;1;0;0;0;0;1;286
anderer Verkehrsteilnehmer;0;0;1;1;209;0;9;1;4;0;2;0;6;233
Unfälle zwischen zwei Beteiligten insg.;36;77;126;173;26294;161;1182;515;346;76;108;12;1390;30496
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;3;0;0;0;0;0;0;0;0;3
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;18;0;0;0;0;0;0;0;1;19
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;13;111;0;8;2;3;2;2;0;19;160
Personenkraftwagen;3;7;20;108;9222;37;502;446;504;54;91;0;666;11660
Bus;0;0;0;0;67;0;1;2;1;0;1;0;2;74
Lastkraftwagen 3 bis einschließlich 3,5t;2;0;2;4;465;4;48;33;43;1;10;0;32;644
Lastkraftwagen 3 über 3,5t;0;0;1;2;564;0;44;28;47;2;4;0;21;713
Sattelzugmaschine;1;0;0;2;782;2;49;41;91;5;1;0;28;1002
übriges Güterkraftfahrzeug;0;0;2;1;65;0;8;5;5;0;0;0;5;91
Landwirt. Zugmaschine;0;1;0;0;115;0;5;5;4;0;0;0;4;134
Straßenbahn;0;0;0;0;6;0;0;0;0;0;0;0;0;6
anderer Verkehrsteilnehmer;0;0;0;3;117;0;8;6;7;0;4;0;1;146
Unfälle zwischen zwei Beteiligten insg.;6;8;25;133;11535;43;673;568;705;64;113;0;779;14652
Schwerwiegende Unfälle mit Sachschaden (i.e.S.) - Innerhalb und außerhalb von Ortschaften;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;1;10;0;0;0;0;0;0;0;0;11
Fahrrad 4;0;0;0;0;30;0;2;0;0;0;0;0;0;32
Kraftrad mit Versicherungskennzeichen 1;1;1;0;1;156;0;11;0;2;1;0;0;21;194
Kraftrad mit amtlichem Kennzeichen 2;1;4;3;16;432;8;40;6;12;4;3;0;53;582
Personenkraftwagen;35;78;135;264;32503;182;1516;914;791;122;186;11;1949;38686
Bus;1;0;0;1;356;1;9;4;4;0;1;0;8;385
Lastkraftwagen 3 bis einschließlich 3,5t;3;1;6;9;1307;8;104;54;57;2;17;1;59;1628
Lastkraftwagen 3 über 3,5t;0;0;4;6;1059;1;62;40;58;4;5;0;31;1270
Sattelzugmaschine;1;0;0;2;1009;3;62;46;104;7;3;0;31;1268
übriges Güterkraftfahrzeug;0;0;2;2;147;1;11;5;6;0;0;0;5;179
Landwirt. Zugmaschine;0;1;0;0;216;0;9;6;6;0;0;0;4;242
Straßenbahn;0;0;0;0;278;0;12;1;0;0;0;0;1;292
anderer Verkehrsteilnehmer;0;0;1;4;326;0;17;7;11;0;6;0;7;379
Unfälle zwischen zwei Beteiligten insg.;42;85;151;306;37829;204;1855;1083;1051;140;221;12;2169;45148
Auf Autobahnen - Unfälle mit Getöteten;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;5;0;1;0;0;0;0;0;1;7
Personenkraftwagen;1;0;0;2;28;0;8;1;5;0;0;0;0;45
Bus;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;1;2;0;0;0;1;0;0;0;0;5
Lastkraftwagen 3 über 3,5t;1;0;0;1;13;0;5;1;1;0;0;0;0;22
Sattelzugmaschine;3;0;0;3;31;2;23;8;8;1;0;0;3;82
übriges Güterkraftfahrzeug;0;0;0;0;1;0;0;1;0;0;0;0;0;2
Landwirt. Zugmaschine;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;2;0;1;0;0;0;0;0;0;3
Unfälle zwischen zwei Beteiligten insg.;6;0;0;7;82;2;38;11;16;1;0;0;4;167
Auf Autobahnen – Unfälle mit Personenschaden;Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;30;0;4;3;11;0;0;0;1;49
Fahrrad 4;0;3;0;0;2;0;0;0;0;0;0;0;0;5
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;2;0;0;1;0;0;0;0;0;3
Kraftrad mit amtlichem Kennzeichen 2;1;0;0;15;126;0;10;5;11;0;0;0;3;171
Personenkraftwagen;17;3;2;203;6348;20;492;325;668;22;4;0;108;8212
Bus;1;0;0;0;31;0;2;0;3;0;0;0;0;37
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;8;277;0;45;18;39;1;0;0;4;393
Lastkraftwagen 3 über 3,5t;2;0;0;8;340;2;76;52;75;3;0;0;6;564
Sattelzugmaschine;7;0;0;17;822;7;180;79;168;6;0;0;15;1301
übriges Güterkraftfahrzeug;0;0;0;1;24;0;6;2;2;4;0;0;0;39
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;1;0;0;0;0;2
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;4;58;0;8;4;6;0;0;0;1;81
Unfälle zwischen zwei Beteiligten insg.;29;6;2;256;8061;29;823;489;984;36;4;0;138;10857
Auf Autobahnen – Schwerwiegende Unfälle mit Sachschaden (i.e.S.);Fußgänger 5;Fahrrad 4;Kraftrad mit Versicherungskennzeichen 1;Kraftrad mit amtlichem Kennzeichen 2;Personenkraftwagen;Bus;Lastkraftwagen 3 bis einschließlich 3,5t;Lastkraftwagen 3 über 3,5t;Sattelzugmaschine;übriges Güterkraftfahrzeug;Landwirt. Zugmaschine;Straßenbahn;anderer Verkehrsteilnehmer;Unfälle insgesamt
Fußgänger 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fahrrad 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit Versicherungskennzeichen 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kraftrad mit amtlichem Kennzeichen 2;0;0;0;0;5;0;1;0;1;0;0;0;1;8
Personenkraftwagen;0;1;0;12;1864;8;169;221;332;23;0;0;349;2979
Bus;0;0;0;0;15;0;0;0;1;0;0;0;1;17
Lastkraftwagen 3 bis einschließlich 3,5t;1;0;0;0;122;0;19;17;30;0;0;0;20;209
Lastkraftwagen 3 über 3,5t;0;0;0;1;223;0;30;18;32;0;0;0;14;318
Sattelzugmaschine;0;0;0;0;527;1;39;26;79;4;0;0;21;697
übriges Güterkraftfahrzeug;0;0;0;0;18;0;6;0;1;0;0;0;2;27
Landwirt. Zugmaschine;0;0;0;0;1;0;0;0;1;0;0;0;1;3
Straßenbahn;0;0;0;0;0;0;0;0;0;0;0;0;0;0
anderer Verkehrsteilnehmer;0;0;0;0;36;0;2;4;5;0;0;0;1;48
Unfälle zwischen zwei Beteiligten insg.;1;1;0;13;2811;9;266;286;482;27;0;0;410;4306
